#WAVELENGTH FLUX
950.008 1.8348544856792445e-15
950.024 1.8876637566782547e-15
950.056 1.9928592957546306e-15
950.12 2.196106912068117e-15
950.175 2.3630608777045367e-15
950.184 2.390236171651912e-15
950.193 2.417350658929301e-15
950.211 2.471444801302805e-15
950.247 2.578681329476114e-15
950.319 2.789889332021291e-15
950.333 2.8305240501817304e-15
950.391 2.9975044535007528e-15
950.463 3.202132116846103e-15
950.533 3.398987101506243e-15
950.593 3.571017102202392e-15
950.633 3.684989951902884e-15
950.653 3.7416987810858e-15
950.773 4.0814230025312466e-15
951.013 4.759972564213645e-15
951.203 5.2980587182275875e-15
951.393 5.850949974499075e-15
951.583 6.424700562344139e-15
951.773 7.025787714000455e-15
951.868 7.338598374556293e-15
951.963 7.659948406592822e-15
952.058 7.990419439127303e-15
952.153 8.34777759486879e-15
952.248 8.718856907881106e-15
952.343 9.105005699976997e-15
952.438 9.506990663951939e-15
952.533 9.951936862156363e-15
952.628 1.0413459487352717e-14
952.723 1.0890712533697712e-14
952.818 1.1384224754843405e-14
952.833 1.1463617115699488e-14
952.913 1.1900684884488292e-14
952.993 1.2362842014067111e-14
953.073 1.2838799613964572e-14
953.233 1.3833120856654317e-14
953.313 1.435214544151167e-14
953.393 1.4885578563387528e-14
953.473 1.5483202378622884e-14
953.553 1.610816275766949e-14
953.633 1.6752052517459673e-14
953.713 1.741534753628028e-14
953.873 1.879750958275249e-14
953.953 1.9514420221891492e-14
954.033 2.025496614927736e-14
954.113 2.1028453429186264e-14
954.193 2.1815053799666135e-14
954.353 2.3426245490526044e-14
954.513 2.5077596021259542e-14
954.673 2.6761015460990186e-14
954.833 2.8350977692720077e-14
954.993 2.988938644337459e-14
955.153 3.1413518845423614e-14
955.313 3.2915707970912354e-14
955.473 3.4395160689362716e-14
955.633 3.575617258975272e-14
955.713 3.639041259539289e-14
955.793 3.701830755720841e-14
955.953 3.825664861032161e-14
955.988 3.852446233508756e-14
956.193 4.006921612956673e-14
956.398 4.1566910849013e-14
956.603 4.300062637656059e-14
956.808 4.436533955251498e-14
957.218 4.6943277983109955e-14
957.628 4.929728924205957e-14
958.038 5.143451150366656e-14
958.243 5.2409268861230266e-14
958.448 5.331872514276516e-14
958.653 5.4159707826358905e-14
958.858 5.4931159404707397e-14
959.063 5.563704553020104e-14
959.268 5.627234304314533e-14
959.473 5.6832557537497783e-14
959.669 5.72965388671762e-14
959.678 5.731610275230224e-14
959.687 5.733540226060225e-14
959.705 5.73742656540283e-14
959.741 5.744987742627219e-14
959.813 5.759343404280517e-14
959.914 5.777823344419845e-14
959.957 5.785093707135604e-14
960.0 5.791993942294924e-14
960.086 5.804842656039864e-14
960.258 5.826098552852482e-14
960.602 5.850764910720855e-14
960.752 5.853937432633187e-14
960.946 5.851135038277295e-14
961.14 5.840507089870985e-14
961.334 5.821181143888369e-14
961.528 5.79387101775972e-14
961.722 5.758550273802435e-14
961.916 5.715166036651307e-14
962.015 5.689944487448276e-14
962.11 5.663797619354148e-14
962.304 5.6046565233717775e-14
962.593 5.502342691699102e-14
962.882 5.38012128502655e-14
962.889 5.3769752007968216e-14
963.171 5.24153495282289e-14
963.453 5.091395353321825e-14
963.735 4.923859758668145e-14
964.017 4.7442950184302094e-14
964.299 4.553652889181718e-14
964.581 4.353916197117878e-14
964.863 4.1464332640514296e-14
965.145 3.9324730987473056e-14
965.427 3.7142564665441375e-14
965.895 3.347063492874425e-14
965.991 3.271742535139166e-14
966.087 3.196500890451716e-14
966.279 3.0462555402202396e-14
966.663 2.7510259385952358e-14
966.855 2.606871830435435e-14
967.047 2.46593254448013e-14
967.239 2.3283746381297175e-14
967.431 2.1948008905475407e-14
967.623 2.0655074037787505e-14
967.815 1.940861661611525e-14
968.007 1.8210302214462624e-14
968.199 1.7062325160485645e-14
968.391 1.5966192402092676e-14
968.583 1.4923384449509473e-14
968.647 1.458733506594581e-14
968.775 1.3932685169336306e-14
968.807 1.3772710751907015e-14
968.967 1.2995892323990162e-14
969.127 1.2255214208191282e-14
969.287 1.1549037268189001e-14
969.447 1.0876674124235648e-14
969.607 1.023616838781862e-14
969.767 9.626488989316406e-15
969.854 9.307148221157687e-15
969.927 9.046366919964078e-15
970.0 8.791005343704033e-15
970.146 8.296118363062998e-15
970.292 7.821376896565265e-15
970.438 7.364692367285216e-15
970.573 6.956203733389995e-15
970.584 6.923553195375588e-15
970.73 6.4962938068324085e-15
970.887 6.049629159258805e-15
971.044 5.613222332535071e-15
971.358 4.7534688942933665e-15
971.657 3.928005130387439e-15
971.672 3.885308272983984e-15
971.687 3.842505664850118e-15
971.717 3.756530321025948e-15
971.778 3.583099123151852e-15
971.899 3.2290192400531088e-15
971.953 3.066453929728747e-15
972.02 2.8632803389265482e-15
972.087 2.656246846464347e-15
972.154 2.4451287320400193e-15
972.188 2.334695888040037e-15
972.221 2.222734945985615e-15
972.254 2.1055816430680117e-15
972.287 1.986942542388133e-15
972.32 1.860168566771386e-15
972.336 1.7936725074889277e-15
972.353 1.7245564738605364e-15
972.37 1.6537907288377328e-15
972.387 1.5732324661788675e-15
972.404 1.4859590321389016e-15
972.421 1.394738452086344e-15
972.437 1.3036923607389643e-15
972.452 1.2175821847335198e-15
972.453 1.2104942420277203e-15
972.47 1.1304647330209103e-15
972.487 1.0704115369887443e-15
972.504 1.0428793343262318e-15
972.507 1.040417986075915e-15
972.522 1.0316195253057168e-15
972.537 1.0289969071915232e-15
972.552 1.031794014010895e-15
972.567 1.0407696072545316e-15
972.568 1.0415257249769706e-15
972.578 1.0554345897942817e-15
972.582 1.062472300903136e-15
972.587 1.0710090286155667e-15
972.606 1.1363497611682841e-15
972.612 1.162493985494152e-15
972.624 1.233389275161709e-15
972.637 1.3050935579169106e-15
972.65 1.3777258033314688e-15
972.662 1.4461914699678325e-15
972.675 1.5118283045657008e-15
