#WAVELENGTH FLUX ERROR DQ
1124.8131420894551 0.0 0.0 128
1124.8231084111512 0.0 0.0 128
1124.8330747328473 0.0 0.0 128
1124.8430410545434 0.0 0.0 128
1124.8530073762392 0.0 0.0 128
1124.8629736979353 0.0 0.0 128
1124.8729400196314 0.0 0.0 128
1124.8829063413275 0.0 0.0 128
1124.8928726630236 0.0 0.0 128
1124.9028389847197 0.0 0.0 128
1124.9128053064157 0.0 0.0 128
1124.9227716281116 0.0 0.0 128
1124.9327379498077 0.0 0.0 128
1124.9427042715038 0.0 0.0 128
1124.9526705931999 0.0 0.0 128
1124.962636914896 0.0 0.0 128
1124.972603236592 0.0 0.0 128
1124.982569558288 0.0 0.0 128
1124.992535879984 0.0 0.0 128
1125.00250220168 0.0 0.0 128
1125.0124685233761 0.0 0.0 128
1125.0224348450722 0.0 0.0 128
1125.0324011667683 0.0 0.0 128
1125.0423674884644 0.0 0.0 128
1125.0523338101605 0.0 0.0 128
1125.0623001318563 0.0 0.0 128
1125.0722664535524 0.0 0.0 128
1125.0822327752485 0.0 0.0 128
1125.0921990969446 0.0 0.0 128
1125.1021654186407 0.0 0.0 128
1125.1121317403367 0.0 0.0 128
1125.1220980620328 0.0 0.0 128
1125.1320643837287 0.0 0.0 128
1125.1420307054248 0.0 0.0 128
1125.1519970271208 0.0 0.0 128
1125.161963348817 0.0 0.0 128
1125.171929670513 0.0 0.0 128
1125.181895992209 0.0 0.0 128
1125.1918623139052 0.0 0.0 128
1125.201828635601 0.0 0.0 128
1125.2117949572971 0.0 0.0 128
1125.2217612789932 0.0 0.0 128
1125.2317276006893 0.0 0.0 128
1125.2416939223854 0.0 0.0 128
1125.2516602440814 0.0 0.0 128
1125.2616265657775 0.0 0.0 128
1125.2715928874736 0.0 0.0 128
1125.2815592091695 0.0 0.0 128
1125.2915255308656 0.0 0.0 128
1125.3014918525616 0.0 0.0 128
1125.3114581742577 0.0 0.0 128
1125.3214244959538 0.0 0.0 128
1125.33139081765 0.0 0.0 128
1125.341357139346 0.0 0.0 128
1125.3513234610418 0.0 0.0 128
1125.361289782738 0.0 0.0 128
1125.371256104434 0.0 0.0 128
1125.38122242613 0.0 0.0 128
1125.3911887478262 0.0 0.0 128
1125.4011550695222 0.0 0.0 128
1125.4111213912183 0.0 0.0 128
1125.4210877129142 0.0 0.0 128
1125.4310540346103 0.0 0.0 128
1125.4410203563064 0.0 0.0 128
1125.4509866780024 0.0 0.0 128
1125.4609529996985 0.0 0.0 128
1125.4709193213946 0.0 0.0 128
1125.4808856430907 0.0 0.0 128
1125.4908519647865 0.0 0.0 128
1125.5008182864826 0.0 0.0 128
1125.5107846081787 0.0 0.0 128
1125.5207509298748 0.0 0.0 128
1125.5307172515709 0.0 0.0 128
1125.540683573267 0.0 0.0 128
1125.550649894963 0.0 0.0 128
1125.560616216659 0.0 0.0 128
1125.570582538355 0.0 0.0 128
1125.580548860051 0.0 0.0 128
1125.5905151817472 0.0 0.0 128
1125.6004815034432 0.0 0.0 128
1125.6104478251393 0.0 0.0 128
1125.6204141468354 0.0 0.0 128
1125.6303804685313 0.0 0.0 128
1125.6403467902273 0.0 0.0 128
1125.6503131119234 0.0 0.0 128
1125.6602794336195 0.0 0.0 128
1125.6702457553156 0.0 0.0 128
1125.6802120770117 0.0 0.0 128
1125.6901783987078 0.0 0.0 128
1125.7001447204036 0.0 0.0 128
1125.7101110420997 0.0 0.0 128
1125.7200773637958 0.0 0.0 128
1125.7300436854919 0.0 0.0 128
1125.740010007188 0.0 0.0 128
1125.749976328884 0.0 0.0 128
1125.7599426505801 0.0 0.0 128
1125.769908972276 0.0 0.0 128
1125.779875293972 0.0 0.0 128
1125.7898416156681 0.0 0.0 128
1125.7998079373642 0.0 0.0 128
1125.8097742590603 0.0 0.0 128
1125.8197405807564 0.0 0.0 128
1125.8297069024525 0.0 0.0 128
1125.8396732241483 0.0 0.0 128
1125.8496395458444 0.0 0.0 128
1125.8596058675405 0.0 0.0 128
1125.8695721892366 0.0 0.0 128
1125.8795385109327 0.0 0.0 128
1125.8895048326287 0.0 0.0 128
1125.8994711543248 0.0 0.0 128
1125.9094374760207 0.0 0.0 128
1125.9194037977168 0.0 0.0 128
1125.9293701194129 0.0 0.0 128
1125.939336441109 0.0 0.0 128
1125.949302762805 0.0 0.0 128
1125.959269084501 0.0 0.0 128
1125.9692354061972 0.0 0.0 128
1125.979201727893 0.0 0.0 128
1125.9891680495891 0.0 0.0 128
1125.9991343712852 0.0 0.0 128
1126.0091006929813 0.0 0.0 128
1126.0190670146774 0.0 0.0 128
1126.0290333363735 0.0 0.0 128
1126.0389996580695 0.0 0.0 128
1126.0489659797656 0.0 0.0 128
1126.0589323014615 0.0 0.0 128
1126.0688986231576 0.0 0.0 128
1126.0788649448536 0.0 0.0 128
1126.0888312665497 0.0 0.0 128
1126.0987975882458 0.0 0.0 128
1126.108763909942 0.0 0.0 128
1126.118730231638 0.0 0.0 128
1126.1286965533338 0.0 0.0 128
1126.13866287503 0.0 0.0 128
1126.148629196726 0.0 0.0 128
1126.158595518422 0.0 0.0 128
1126.1685618401182 0.0 0.0 128
1126.1785281618143 0.0 0.0 128
1126.1884944835103 0.0 0.0 128
1126.1984608052062 0.0 0.0 128
1126.2084271269023 0.0 0.0 128
1126.2183934485984 0.0 0.0 128
1126.2283597702944 0.0 0.0 128
1126.2383260919905 0.0 0.0 128
1126.2482924136866 0.0 0.0 128
1126.2582587353827 0.0 0.0 128
1126.2682250570786 0.0 0.0 128
1126.2781913787746 0.0 0.0 128
1126.2881577004707 0.0 0.0 128
1126.2981240221668 0.0 0.0 128
1126.308090343863 0.0 0.0 128
1126.318056665559 0.0 0.0 128
1126.328022987255 0.0 0.0 128
1126.337989308951 0.0 0.0 128
1126.347955630647 0.0 0.0 128
1126.357921952343 0.0 0.0 128
1126.3678882740392 0.0 0.0 128
1126.3778545957352 0.0 0.0 128
1126.3878209174313 0.0 0.0 128
1126.3977872391274 0.0 0.0 128
1126.4077535608233 0.0 0.0 128
1126.4177198825193 0.0 0.0 128
1126.4276862042154 0.0 0.0 128
1126.4376525259115 0.0 0.0 128
1126.4476188476076 0.0 0.0 128
1126.4575851693037 0.0 0.0 128
1126.4675514909998 0.0 0.0 128
1126.4775178126956 0.0 0.0 128
1126.4874841343917 0.0 0.0 128
1126.4974504560878 0.0 0.0 128
1126.5074167777839 0.0 0.0 128
1126.51738309948 0.0 0.0 128
1126.527349421176 0.0 0.0 128
1126.5373157428721 0.0 0.0 128
1126.547282064568 0.0 0.0 128
1126.557248386264 0.0 0.0 128
1126.5672147079601 0.0 0.0 128
1126.5771810296562 0.0 0.0 128
1126.5871473513523 0.0 0.0 128
1126.5971136730484 0.0 0.0 128
1126.6070799947445 0.0 0.0 128
1126.6170463164403 0.0 0.0 128
1126.6270126381364 0.0 0.0 128
1126.6369789598325 0.0 0.0 128
1126.6469452815286 0.0 0.0 128
1126.6569116032247 0.0 0.0 128
1126.6668779249208 0.0 0.0 128
1126.6768442466168 0.0 0.0 128
1126.6868105683127 0.0 0.0 128
1126.6967768900088 0.0 0.0 128
1126.7067432117049 0.0 0.0 128
1126.716709533401 0.0 0.0 128
1126.726675855097 0.0 0.0 128
1126.736642176793 0.0 0.0 128
1126.7466084984892 0.0 0.0 128
1126.756574820185 0.0 0.0 128
1126.7665411418811 0.0 0.0 128
1126.7765074635772 0.0 0.0 128
1126.7864737852733 0.0 0.0 128
1126.7964401069694 0.0 0.0 128
1126.8064064286655 0.0 0.0 128
1126.8163727503616 0.0 0.0 128
1126.8263390720574 0.0 0.0 128
1126.8363053937535 0.0 0.0 128
1126.8462717154496 0.0 0.0 128
1126.8562380371457 0.0 0.0 128
1126.8662043588417 0.0 0.0 128
1126.8761706805378 0.0 0.0 128
1126.886137002234 0.0 0.0 128
1126.89610332393 0.0 0.0 128
1126.9060696456258 0.0 0.0 128
1126.916035967322 0.0 0.0 128
1126.926002289018 0.0 0.0 128
1126.935968610714 0.0 0.0 128
1126.9459349324102 0.0 0.0 128
1126.9559012541063 0.0 0.0 128
1126.9658675758023 0.0 0.0 128
1126.9758338974982 0.0 0.0 128
1126.9858002191943 0.0 0.0 128
1126.9957665408904 0.0 0.0 128
1127.0057328625865 0.0 0.0 128
1127.0156991842825 0.0 0.0 128
1127.0256655059786 0.0 0.0 128
1127.0356318276747 0.0 0.0 128
1127.0455981493706 0.0 0.0 128
1127.0555644710666 0.0 0.0 128
1127.0655307927627 0.0 0.0 128
1127.0754971144588 0.0 0.0 128
1127.085463436155 0.0 0.0 128
1127.095429757851 0.0 0.0 128
1127.105396079547 0.0 0.0 128
1127.115362401243 0.0 0.0 128
1127.125328722939 0.0 0.0 128
1127.135295044635 0.0 0.0 128
1127.1452613663312 0.0 0.0 128
1127.1552276880273 0.0 0.0 128
1127.1651940097233 0.0 0.0 128
1127.1751603314194 0.0 0.0 128
1127.1851266531153 0.0 0.0 128
1127.1950929748114 0.0 0.0 128
1127.2050592965074 0.0 0.0 128
1127.2150256182035 0.0 0.0 128
1127.2249919398996 0.0 0.0 128
