#WAVELENGTH FLUX ERROR DQ
1124.8073650300246 0.0 0.0 128
1124.817331300556 0.0 0.0 128
1124.827297571087 0.0 0.0 128
1124.8372638416183 0.0 0.0 128
1124.8472301121494 0.0 0.0 128
1124.8571963826807 0.0 0.0 128
1124.867162653212 0.0 0.0 128
1124.8771289237432 0.0 0.0 128
1124.8870951942745 0.0 0.0 128
1124.8970614648056 0.0 0.0 128
1124.907027735337 0.0 0.0 128
1124.916994005868 0.0 0.0 128
1124.9269602763993 0.0 0.0 128
1124.9369265469306 0.0 0.0 128
1124.9468928174617 0.0 0.0 128
1124.956859087993 0.0 0.0 128
1124.9668253585241 0.0 0.0 128
1124.9767916290555 0.0 0.0 128
1124.9867578995868 0.0 0.0 128
1124.996724170118 0.0 0.0 128
1125.0066904406492 0.0 0.0 128
1125.0166567111803 0.0 0.0 128
1125.0266229817116 0.0 0.0 128
1125.0365892522427 0.0 0.0 128
1125.046555522774 0.0 0.0 128
1125.0565217933054 0.0 0.0 128
1125.0664880638365 0.0 0.0 128
1125.0764543343678 0.0 0.0 128
1125.0864206048989 0.0 0.0 128
1125.0963868754302 0.0 0.0 128
1125.1063531459615 0.0 0.0 128
1125.1163194164926 0.0 0.0 128
1125.126285687024 0.0 0.0 128
1125.136251957555 0.0 0.0 128
1125.1462182280864 0.0 0.0 128
1125.1561844986177 0.0 0.0 128
1125.1661507691488 0.0 0.0 128
1125.17611703968 0.0 0.0 128
1125.1860833102112 0.0 0.0 128
1125.1960495807425 0.0 0.0 128
1125.2060158512736 0.0 0.0 128
1125.215982121805 0.0 0.0 128
1125.2259483923362 0.0 0.0 128
1125.2359146628673 0.0 0.0 128
1125.2458809333987 0.0 0.0 128
1125.2558472039298 0.0 0.0 128
1125.265813474461 0.0 0.0 128
1125.2757797449924 0.0 0.0 128
1125.2857460155235 0.0 0.0 128
1125.2957122860548 0.0 0.0 128
1125.305678556586 0.0 0.0 128
1125.3156448271172 0.0 0.0 128
1125.3256110976483 0.0 0.0 128
1125.3355773681797 0.0 0.0 128
1125.345543638711 0.0 0.0 128
1125.355509909242 0.0 0.0 128
1125.3654761797734 0.0 0.0 128
1125.3754424503045 0.0 0.0 128
1125.3854087208358 0.0 0.0 128
1125.3953749913671 0.0 0.0 128
1125.4053412618982 0.0 0.0 128
1125.4153075324296 0.0 0.0 128
1125.4252738029606 0.0 0.0 128
1125.435240073492 0.0 0.0 128
1125.4452063440233 0.0 0.0 128
1125.4551726145544 0.0 0.0 128
1125.4651388850857 0.0 0.0 128
1125.4751051556168 0.0 0.0 128
1125.4850714261481 0.0 0.0 128
1125.4950376966792 0.0 0.0 128
1125.5050039672105 0.0 0.0 128
1125.5149702377419 0.0 0.0 128
1125.524936508273 0.0 0.0 128
1125.5349027788043 0.0 0.0 128
1125.5448690493354 0.0 0.0 128
1125.5548353198667 0.0 0.0 128
1125.564801590398 0.0 0.0 128
1125.5747678609291 0.0 0.0 128
1125.5847341314604 0.0 0.0 128
1125.5947004019915 0.0 0.0 128
1125.6046666725229 0.0 0.0 128
1125.614632943054 0.0 0.0 128
1125.6245992135853 0.0 0.0 128
1125.6345654841166 0.0 0.0 128
1125.6445317546477 0.0 0.0 128
1125.654498025179 0.0 0.0 128
1125.66446429571 0.0 0.0 128
1125.6744305662414 0.0 0.0 128
1125.6843968367727 0.0 0.0 128
1125.6943631073038 0.0 0.0 128
1125.7043293778352 0.0 0.0 128
1125.7142956483663 0.0 0.0 128
1125.7242619188976 0.0 0.0 128
1125.734228189429 0.0 0.0 128
1125.74419445996 0.0 0.0 128
1125.7541607304913 0.0 0.0 128
1125.7641270010224 0.0 0.0 128
1125.7740932715537 0.0 0.0 128
1125.7840595420848 0.0 0.0 128
1125.7940258126162 0.0 0.0 128
1125.8039920831475 0.0 0.0 128
1125.8139583536786 0.0 0.0 128
1125.82392462421 0.0 0.0 128
1125.833890894741 0.0 0.0 128
1125.8438571652723 0.0 0.0 128
1125.8538234358036 0.0 0.0 128
1125.8637897063347 0.0 0.0 128
1125.873755976866 0.0 0.0 128
1125.8837222473971 0.0 0.0 128
1125.8936885179285 0.0 0.0 128
1125.9036547884596 0.0 0.0 128
1125.9136210589909 0.0 0.0 128
1125.9235873295222 0.0 0.0 128
1125.9335536000533 0.0 0.0 128
1125.9435198705846 0.0 0.0 128
1125.9534861411157 0.0 0.0 128
1125.963452411647 0.0 0.0 128
1125.9734186821784 0.0 0.0 128
1125.9833849527095 0.0 0.0 128
1125.9933512232408 0.0 0.0 128
1126.0033174937719 0.0 0.0 128
1126.0132837643032 0.0 0.0 128
1126.0232500348345 0.0 0.0 128
1126.0332163053656 0.0 0.0 128
1126.043182575897 0.0 0.0 128
1126.053148846428 0.0 0.0 128
1126.0631151169594 0.0 0.0 128
1126.0730813874904 0.0 0.0 128
1126.0830476580218 0.0 0.0 128
1126.093013928553 0.0 0.0 128
1126.1029801990842 0.0 0.0 128
1126.1129464696155 0.0 0.0 128
1126.1229127401466 0.0 0.0 128
1126.132879010678 0.0 0.0 128
1126.1428452812092 0.0 0.0 128
1126.1528115517403 0.0 0.0 128
1126.1627778222717 0.0 0.0 128
1126.1727440928028 0.0 0.0 128
1126.182710363334 0.0 0.0 128
1126.1926766338652 0.0 0.0 128
1126.2026429043965 0.0 0.0 128
1126.2126091749278 0.0 0.0 128
1126.222575445459 0.0 0.0 128
1126.2325417159902 0.0 0.0 128
1126.2425079865213 0.0 0.0 128
1126.2524742570527 0.0 0.0 128
1126.262440527584 0.0 0.0 128
1126.272406798115 0.0 0.0 128
1126.2823730686464 0.0 0.0 128
1126.2923393391775 0.0 0.0 128
1126.3023056097088 0.0 0.0 128
1126.3122718802401 0.0 0.0 128
1126.3222381507712 0.0 0.0 128
1126.3322044213025 0.0 0.0 128
1126.3421706918336 0.0 0.0 128
1126.352136962365 0.0 0.0 128
1126.362103232896 0.0 0.0 128
1126.3720695034274 0.0 0.0 128
1126.3820357739587 0.0 0.0 128
1126.3920020444898 0.0 0.0 128
1126.4019683150211 0.0 0.0 128
1126.4119345855522 0.0 0.0 128
1126.4219008560835 0.0 0.0 128
1126.4318671266149 0.0 0.0 128
1126.441833397146 0.0 0.0 128
1126.4517996676773 0.0 0.0 128
1126.4617659382084 0.0 0.0 128
1126.4717322087397 0.0 0.0 128
1126.4816984792708 0.0 0.0 128
1126.491664749802 0.0 0.0 128
1126.5016310203334 0.0 0.0 128
1126.5115972908645 0.0 0.0 128
1126.5215635613959 0.0 0.0 128
1126.531529831927 0.0 0.0 128
1126.5414961024583 0.0 0.0 128
1126.5514623729896 0.0 0.0 128
1126.5614286435207 0.0 0.0 128
1126.571394914052 0.0 0.0 128
1126.581361184583 0.0 0.0 128
1126.5913274551144 0.0 0.0 128
1126.6012937256457 0.0 0.0 128
1126.6112599961768 0.0 0.0 128
1126.6212262667082 0.0 0.0 128
1126.6311925372393 0.0 0.0 128
1126.6411588077706 0.0 0.0 128
1126.6511250783017 0.0 0.0 128
1126.661091348833 0.0 0.0 128
1126.6710576193643 0.0 0.0 128
1126.6810238898954 0.0 0.0 128
1126.6909901604267 0.0 0.0 128
1126.7009564309578 0.0 0.0 128
1126.7109227014892 0.0 0.0 128
1126.7208889720205 0.0 0.0 128
1126.7308552425516 0.0 0.0 128
1126.740821513083 0.0 0.0 128
1126.750787783614 0.0 0.0 128
1126.7607540541453 0.0 0.0 128
1126.7707203246764 0.0 0.0 128
1126.7806865952077 0.0 0.0 128
1126.790652865739 0.0 0.0 128
1126.8006191362701 0.0 0.0 128
1126.8105854068015 0.0 0.0 128
1126.8205516773326 0.0 0.0 128
1126.8305179478639 0.0 0.0 128
1126.8404842183952 0.0 0.0 128
1126.8504504889263 0.0 0.0 128
