                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "12778"          1.7999999999999999E-001          4.4000000000000000E-001          2.8699999999999998E-001                       "gfortran"                          "9.2.0"            "x86_64-linux-20.3.2"                       "20200727" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          7.4416000000000000E+005          2.8698910932637978E-001          1.5608492310334992E+000          1.9535269678823258E+002          7.9917012322458788E+001          4.7576834290802633E-001          7.1467156461228487E-001         -5.8996631073843753E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.5985037309238848E+050         -4.0928460550257860E+032          0.0000000000000000E+000         -1.6570226943424234E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          2.5958682111999998E+006          2.8696200723619736E-001          1.5607509626298488E+000          1.9535884661480961E+002          7.9919528160603917E+001          4.7573838934516116E-001          7.1462657011032249E-001         -5.9007890564647547E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.5982645327457645E+050         -4.0935976762541850E+032          0.0000000000000000E+000         -1.6573269944348926E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          7.2035107872931818E+006          2.8689455240060918E-001          1.5605063673594499E+000          1.9537415638176631E+002          7.9925791247086224E+001          4.7566383333797796E-001          7.1451457640771676E-001         -5.9033349287266534E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.5976691230896135E+050         -4.0954691801782589E+032          0.0000000000000000E+000         -1.6580846883312788E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          1.8668799962237366E+007          2.8672660300101283E-001          1.5598972894874661E+000          1.9541229557928733E+002          7.9941393646072100E+001          4.7547817801387993E-001          7.1423569576563639E-001         -5.9083046714168908E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.5961862634643992E+050         -4.1001337091775919E+032          0.0000000000000000E+000         -1.6599731616103610E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          4.7198108322034471E+007          2.8630806916050949E-001          1.5583789354604940E+000          1.9550746909684685E+002          7.9980328266891888E+001          4.7501536279444850E-001          7.1354048163058970E-001         -5.9147386780654199E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.5924884212792867E+050         -4.1117879967454972E+032          0.0000000000000000E+000         -1.6646914966580960E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          1.1818815689988478E+008          2.8526274568812882E-001          1.5545834830968590E+000          1.9574598537182126E+002          8.0077903106654134E+001          4.7385845663994608E-001          7.1180264441659136E-001         -5.9141274322646831E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.5832369822135501E+050         -4.1410847072551702E+032          0.0000000000000000E+000         -1.6765525130587732E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          2.9483411457712120E+008          2.8263722769414823E-001          1.5450300128830712E+000          1.9635023626881397E+002          8.0325096655423891E+001          4.7094642734059761E-001          7.0742836317954727E-001         -5.8914785676277992E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.5599002252241796E+050         -4.2158768663087803E+032          0.0000000000000000E+000         -1.7068327393962671E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          5.7650814452424765E+008          2.7836992970427216E-001          1.5294392231244975E+000          1.9734847577586856E+002          8.0733467362855322E+001          4.6619413989310826E-001          7.0028975306348673E-001         -5.8489385495331236E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.5216602994049372E+050         -4.3636431316543959E+032          0.0000000000000000E+000         -1.7666571383216177E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          8.4740225249544668E+008          2.7416049665977760E-001          1.5139815961117862E+000          1.9835337312645675E+002          8.1144561733550475E+001          4.6148244228458357E-001          6.9321211464542332E-001         -5.8055501243558405E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.4835540832727944E+050         -4.5215683584681364E+032          0.0000000000000000E+000         -1.8305944771126057E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              50          1.1075234205767298E+009          2.7001449932124694E-001          1.4986793878356652E+000          1.9936344110497839E+002          8.1557771361127536E+001          4.5681811844752535E-001          6.8620563835464310E-001         -5.7615599999420841E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.4456389153605961E+050         -4.6852264801382437E+032          0.0000000000000000E+000         -1.8968528259669002E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              55          1.3572869439118717E+009          2.6593119266359122E-001          1.4835318160468369E+000          2.0037865443669205E+002          8.1973085905919461E+001          4.5220092994157385E-001          6.7926996601989054E-001         -5.7169896477297233E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.4079157760808682E+050         -4.8548088136792707E+032          0.0000000000000000E+000         -1.9655096411656964E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              60          1.5971048240360074E+009          2.6190963575782122E-001          1.4685373441044474E+000          2.0139903757481471E+002          8.2390515371515093E+001          4.4763040837743273E-001          6.7240439405397623E-001         -5.6718544039783103E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.3703837578668413E+050         -5.0305292213192442E+032          0.0000000000000000E+000         -2.0366515066069813E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              65          1.8273730850933416E+009          2.5794889502657303E-001          1.4536944254633839E+000          2.0242461678619094E+002          8.2810070503441736E+001          4.4310608234685156E-001          6.6560821433481288E-001         -5.6261679198432124E-001         -1.0000000000000000E+000          1.7999999999999999E-001          4.4000000000000006E-001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          1.0000000000000000E+000          7.3330418945996989E+050         -5.2126098516673656E+032          0.0000000000000000E+000         -2.1103683609989333E+032          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
