#WAVELENGTH FLUX
950.008 1.8361761245065913e-15
950.024 1.8890234338261007e-15
950.056 1.9942947448560525e-15
950.12 2.1976887596678295e-15
950.175 2.3647629816216228e-15
950.184 2.391957849831647e-15
950.193 2.4190918675728684e-15
950.211 2.4732249737549202e-15
950.247 2.5805387439986217e-15
950.319 2.7918988788785365e-15
950.333 2.8325628660745744e-15
950.391 2.9996635447539346e-15
950.463 3.2044386006402943e-15
950.533 3.40143537921004e-15
950.593 3.5735892924726426e-15
950.633 3.687644236390743e-15
950.653 3.744393912731343e-15
950.773 4.084362836263606e-15
951.013 4.763401154658865e-15
951.203 5.301874890118178e-15
951.393 5.855164391894849e-15
951.583 6.429328250143657e-15
951.773 7.030848362628447e-15
951.868 7.343884339533797e-15
951.963 7.665465838797195e-15
952.058 7.996174908381109e-15
952.153 8.35379046786637e-15
952.248 8.725137067920756e-15
952.343 9.111564001548167e-15
952.438 9.513838513790041e-15
952.533 9.959105205077823e-15
952.628 1.0420960263295934e-14
952.723 1.089855707322624e-14
952.818 1.1392424769380073e-14
952.833 1.1471874316256913e-14
952.913 1.1909256903325815e-14
952.993 1.2371746922957526e-14
953.073 1.2848047353335062e-14
953.233 1.3843084801899144e-14
953.313 1.4362483238224857e-14
953.393 1.4896300589984428e-14
953.473 1.5494354871419977e-14
953.553 1.611976540709151e-14
953.633 1.6764118958268806e-14
953.713 1.7427891746012072e-14
953.873 1.8811049358639835e-14
953.953 1.9528476385832395e-14
954.033 2.0269555725681597e-14
954.113 2.104360014558692e-14
954.193 2.1830767101373338e-14
954.353 2.3443119327585537e-14
954.513 2.5095659319933572e-14
954.673 2.678029132039403e-14
954.833 2.8371398795976157e-14
954.993 2.99109156567032e-14
955.153 3.143614588562421e-14
955.313 3.2939417032324845e-14
955.473 3.4419935395038114e-14
955.633 3.578192762721251e-14
955.713 3.6416624473557953e-14
955.793 3.704497170576739e-14
955.953 3.828420473131223e-14
955.988 3.855221136130304e-14
956.193 4.0098077836166085e-14
956.398 4.159685133952038e-14
956.603 4.303159956700324e-14
956.808 4.439729574075697e-14
957.218 4.697709105076717e-14
957.628 4.9332797895227304e-14
958.038 5.147155959004039e-14
958.243 5.2447019061685105e-14
958.448 5.3357130421180037e-14
958.653 5.419871886145718e-14
958.858 5.497072611349387e-14
959.063 5.567712068612511e-14
959.268 5.631287580149323e-14
959.473 5.687349381625188e-14
959.669 5.733780934994769e-14
959.678 5.735738732686706e-14
959.687 5.737670073653077e-14
959.705 5.741559212311383e-14
959.741 5.749125835823463e-14
959.813 5.763491837806188e-14
959.914 5.78198508897732e-14
959.957 5.789260688508167e-14
960.0 5.796165893881078e-14
960.086 5.809023862506501e-14
960.258 5.830295069862139e-14
960.602 5.854979194815883e-14
960.752 5.858154001883888e-14
960.946 5.855349588973816e-14
961.14 5.844713985295998e-14
961.334 5.82537411890673e-14
961.528 5.798044321396316e-14
961.722 5.762698136039187e-14
961.916 5.71928264938421e-14
962.015 5.694042933193567e-14
962.11 5.667877231608087e-14
962.304 5.6086935365153496e-14
962.593 5.50630600857217e-14
962.882 5.3839965662772553e-14
962.889 5.380848215934816e-14
963.171 5.245310410856545e-14
963.453 5.095062666363181e-14
963.735 4.92740639644692e-14
964.017 4.7477123163978046e-14
964.299 4.556932868336236e-14
964.581 4.357052306679718e-14
964.863 4.1494199244321534e-14
965.145 3.9353056444207446e-14
965.427 3.716931831593094e-14
965.895 3.349474370197016e-14
965.991 3.27409915905745e-14
966.087 3.198803318094584e-14
966.279 3.0484497466989536e-14
966.663 2.753007492295468e-14
966.855 2.608749550470408e-14
967.047 2.4677087464742603e-14
967.239 2.3300517576780953e-14
967.431 2.196381797424834e-14
967.623 2.0669951810408232e-14
967.815 1.942259657011441e-14
968.007 1.822341902707757e-14
968.199 1.7074615089519752e-14
968.391 1.597769279079826e-14
968.583 1.4934133707544826e-14
968.647 1.4597842268866335e-14
968.775 1.3942720830383386e-14
968.807 1.3782631183979204e-14
968.967 1.3005253216652473e-14
969.127 1.2264041593175437e-14
969.287 1.1557355996562963e-14
969.447 1.0884508551950314e-14
969.607 1.0243541461645556e-14
969.767 9.633422913351584e-15
969.854 9.313852125231256e-15
969.927 9.052882984241199e-15
970.0 8.797337471992316e-15
970.146 8.302094026109013e-15
970.292 7.827010605107545e-15
970.438 7.369997127668143e-15
970.573 6.9612142609368585e-15
970.584 6.928540204861968e-15
970.73 6.5009730629783166e-15
970.887 6.0539866845286984e-15
971.044 5.617265515598965e-15
971.358 4.756892800169454e-15
971.657 3.9308344577999695e-15
971.672 3.888106846009728e-15
971.687 3.845273407317219e-15
971.717 3.759236135774268e-15
971.778 3.5856800160566306e-15
971.899 3.2313450905416414e-15
971.953 3.0686626850319224e-15
972.02 2.865342749051732e-15
972.087 2.6581601311388013e-15
972.154 2.4468899491258137e-15
972.188 2.3363775607610965e-15
972.221 2.224335973658623e-15
972.254 2.107098285654847e-15
972.287 1.988373729674222e-15
972.32 1.861508439236719e-15
972.336 1.794964483091322e-15
972.353 1.725798665442264e-15
972.37 1.6549819481178431e-15
972.387 1.5743656596435116e-15
972.404 1.4870293628752348e-15
972.421 1.3957430769798477e-15
972.437 1.3046314054732012e-15
972.452 1.2184592046298598e-15
972.453 1.211366156505424e-15
972.47 1.1312790025424266e-15
972.487 1.0711825504176379e-15
972.504 1.0436305164124628e-15
972.507 1.0411673952622018e-15
972.522 1.0323625969935996e-15
972.537 1.0297380898173817e-15
972.552 1.03253721138234e-15
972.567 1.041519269712239e-15
972.568 1.0422759320634471e-15
972.578 1.0561948153840948e-15
972.582 1.0632375957299538e-15
972.587 1.0717804724154455e-15
972.606 1.137168269653577e-15
972.612 1.1633313255664996e-15
972.624 1.2342776808461975e-15
972.637 1.306033611928237e-15
972.65 1.378718174077668e-15
972.662 1.447233156277785e-15
972.675 1.5129172688422636e-15
972.687 1.5768129067584324e-15
972.699 1.6364648858937006e-15
972.712 1.6919075999913045e-15
972.724 1.7427891746012072e-15
972.735 1.7891334207764187e-15
972.736 1.7938427179272935e-15
972.761 1.8956825916512425e-15
972.787 1.9932761609217337e-15
972.813 2.0870308593124953e-15
972.865 2.269807147890133e-15
972.916 2.443434700766801e-15
972.949 2.548661035363289e-15
972.968 2.6090829052125488e-15
972.987 2.6692190424256875e-15
973.025 2.788512418005997e-15
973.101 3.0233423141361428e-15
973.118 3.075065212619067e-15
973.176 3.2540449610778812e-15
973.252 3.480197051222145e-15
973.387 3.872973598985568e-15
973.522 4.257151710939809e-15
973.656 4.635165405837007e-15
973.665 4.658182757080047e-15
973.904 5.327167519759955e-15
973.926 5.38846775289803e-15
974.045 5.725605806794655e-15
974.187 6.129256068765997e-15
974.329 6.541928074155589e-15
974.47 6.965897101362167e-15
974.611 7.403306145156635e-15
974.753 7.85579552252413e-15
974.894 8.325402401333287e-15
975.036 8.814428516708413e-15
975.177 9.324540642360208e-15
975.245 9.575562054537183e-15
975.295 9.765574257557317e-15
975.319 9.857802402882878e-15
975.393 1.0146524648992419e-14
975.418 1.0245525716063059e-14
975.541 1.0744129166093335e-14
975.664 1.1262786814103179e-14
975.787 1.1802080708055059e-14
975.91 1.2363360140952879e-14
976.033 1.294659865607107e-14
976.156 1.3553304286766935e-14
976.279 1.4184455931886443e-14
976.402 1.4841244144080096e-14
976.525 1.5523033961934293e-14
976.648 1.6230380976685937e-14
976.771 1.6964555111162225e-14
976.894 1.7725212427930795e-14
977.017 1.8513278912386477e-14
977.14 1.9328992675059376e-14
977.263 2.0171824581438157e-14
977.386 2.104264770346652e-14
977.509 2.1941858892027966e-14
977.632 2.286935232022023e-14
977.755 2.3825313185122275e-14
978.001 2.582332509992045e-14
978.247 2.7934333689614056e-14
978.493 3.0156169502706626e-14
978.739 3.2489652697690725e-14
978.979 3.486890602790524e-14
978.983 3.4909384818022307e-14
978.985 3.4929756496708676e-14
978.987 3.4950128175395044e-14
978.995 3.503135032288485e-14
979.011 3.519405918512014e-14
979.043 3.552106431312471e-14
979.107 3.6180365914247204e-14
979.235 3.751907622792289e-14
979.491 4.0279570973553736e-14
979.494 4.0312641880512127e-14
979.747 4.3146157188707105e-14
980.0 4.607862065052159e-14
980.253 4.91018306810299e-14
980.506 5.221287704041969e-14
980.759 5.540779121985597e-14
981.012 5.867784249990172e-14
981.265 6.202144347702292e-14
981.544 6.577988591103019e-14
981.771 6.889199053944266e-14
981.998 7.204510309248353e-14
982.452 7.841403063815837e-14
982.906 8.489143075865675e-14
983.36 9.144238057623059e-14
983.921 9.958999378175556e-14
984.268 1.046382015871401e-13
984.615 1.0968085348015561e-13
985.231 1.1846369266653738e-13
985.309 1.1956667355541364e-13
985.387 1.2066753790624458e-13
985.543 1.2285233430354375e-13
985.855 1.271864750858827e-13
986.479 1.3570606985287565e-13
987.103 1.4400289899059689e-13
