Name, RA, DEC
1,22 59 46.855,	+16 29 16.95
2,22 58 48.135, +25 15 43.91
3,07 17 09.786,	+74 00 40.53
4,11 44 04.757,	+05 29 51.77
5,13 49 52.046,	-13 13 36.66
6,01 39 42.853,	-34 42 39.57
7,03 10 55.036,	+09 49 24.11
8,04 32 23.907,	+17 45 02.01
9,10 28 34.947,	-00 00 30.95
10,10 44 09.222,-69 18 18.08
11,12 15 43.954,+52 30 58.96
12,12 26 30.848,+30 38 52.67
13,13 41 00.048,+60 26 10.06
14,15 06 05.395,+54 28 18.77
15,23 20 04.074,+27 06 23.69
16,14 39 12.656,-21 50 14.29        
17,15 00 19.329,+16 59 14.23              
18,04 09 28.90,	 +17 07 54.39
19,23 47 43.14,	 +30 44 01.28
