wave flux_0kms flux_-120kms flux_-130kms flux_-140kms flux_-150kms ISM_attenuation
1.212000000000000000e+03 1.174588683248774972e-18 1.025682148389365616e-17 1.211735069916180707e-17 1.428481108508918932e-17 1.680402304685472053e-17 9.636106952380505408e-01
1.212005000000000109e+03 1.202917818700638575e-18 1.047103756930414702e-17 1.236716522336418430e-17 1.457546944664246781e-17 1.714142343745318522e-17 9.636106952380505408e-01
1.212010000000000218e+03 1.231890180125077528e-18 1.068938029366261633e-17 1.262171989224420178e-17 1.487155874342135457e-17 1.748503022414719624e-17 9.636106952380505408e-01
1.212015000000000327e+03 1.261519354346761734e-18 1.091192136989229343e-17 1.288109556130324978e-17 1.517316986510012705e-17 1.783494526503882620e-17 9.636106952380505408e-01
1.212020000000000437e+03 1.291819190413742597e-18 1.113873359161150518e-17 1.314537427422280305e-17 1.548039500252301504e-17 1.819127183730406449e-17 9.636106952380505408e-01
1.212025000000000546e+03 1.322803804082949638e-18 1.136989084607388221e-17 1.341463927650951584e-17 1.579332766199073359e-17 1.855411465203546628e-17 9.636106952380505408e-01
1.212030000000000655e+03 1.354487582369662466e-18 1.160546812719824715e-17 1.368897502922334760e-17 1.611206267962071589e-17 1.892357986914645292e-17 9.636106952380505408e-01
1.212035000000000764e+03 1.386885188161519112e-18 1.184554154868748398e-17 1.396846722278759467e-17 1.643669623577961935e-17 1.929977511233544865e-17 9.636106952380505408e-01
1.212040000000000873e+03 1.420011564897857306e-18 1.209018835723559341e-17 1.425320279087979706e-17 1.676732586958686307e-17 1.968280948410806016e-17 9.636106952380505408e-01
1.212045000000000982e+03 1.453881941314829725e-18 1.233948694582229941e-17 1.454326992440250523e-17 1.710405049348754189e-17 2.007279358085544719e-17 9.636106952380505408e-01
1.212050000000001091e+03 1.488511836257152950e-18 1.259351686709422561e-17 1.483875808553268473e-17 1.744697040789353693e-17 2.046983950798727546e-17 9.636106952380505408e-01
1.212055000000001201e+03 1.523917063556904213e-18 1.285235884683197738e-17 1.513975802184879606e-17 1.779618731589101359e-17 2.087406089511701172e-17 9.636106952380505408e-01
1.212060000000001310e+03 1.560113736980224306e-18 1.311609479750205263e-17 1.544636178053401025e-17 1.815180433801297605e-17 2.128557291129793094e-17 9.636106952380505408e-01
1.212065000000001419e+03 1.597118275242353838e-18 1.338480783189286343e-17 1.575866272265466217e-17 1.851392602707520173e-17 2.170449228030757364e-17 9.636106952380505408e-01
1.212070000000001528e+03 1.634947407091845240e-18 1.365858227683374509e-17 1.607675553751243453e-17 1.888265838307376542e-17 2.213093729597884777e-17 9.636106952380505408e-01
1.212075000000001637e+03 1.673618176464394047e-18 1.393750368699600996e-17 1.640073625706902160e-17 1.925810886814273886e-17 2.256502783757544852e-17 9.636106952380505408e-01
1.212080000000001746e+03 1.713147947707127447e-18 1.422165885877508121e-17 1.673070227044182422e-17 1.964038642157000699e-17 2.300688538520957155e-17 9.636106952380505408e-01
1.212085000000001855e+03 1.753554410873752214e-18 1.451113584425248662e-17 1.706675233846951463e-17 2.002960147486966042e-17 2.345663303529975338e-17 9.636106952380505408e-01
1.212090000000001965e+03 1.794855587091476279e-18 1.480602396523675829e-17 1.740898660834547703e-17 2.042586596690893334e-17 2.391439551606633978e-17 9.636106952380505408e-01
1.212095000000002074e+03 1.837069834000022480e-18 1.510641382738190131e-17 1.775750662831830769e-17 2.082929335908793034e-17 2.438029920306275185e-17 9.636106952380505408e-01
1.212100000000002183e+03 1.880215851263685705e-18 1.541239733438243104e-17 1.811241536245718635e-17 2.123999865057011767e-17 2.485447213473954836e-17 9.636106952380505408e-01
1.212105000000002292e+03 1.924312686156767967e-18 1.572406770224358350e-17 1.847381720548088974e-17 2.165809839356158526e-17 2.533704402803945090e-17 9.636106952380505408e-01
1.212110000000002401e+03 1.969379739223273298e-18 1.604151947362540422e-17 1.884181799764874290e-17 2.208371070863701787e-17 2.582814629402052762e-17 9.636106952380505408e-01
1.212115000000002510e+03 2.015436770011275563e-18 1.636484853225960041e-17 1.921652503971172433e-17 2.251695530011054198e-17 2.632791205350500575e-17 9.636106952380505408e-01
1.212120000000002619e+03 2.062503902882766556e-18 1.669415211743747996e-17 1.959804710792198063e-17 2.295795347144869662e-17 2.683647615275142327e-17 9.636106952380505408e-01
1.212125000000002728e+03 2.110601632899413844e-18 1.702952883856785861e-17 1.998649446909912996e-17 2.340682814072411682e-17 2.735397517914706300e-17 9.636106952380505408e-01
1.212130000000002838e+03 2.159750831785074640e-18 1.737107868980315747e-17 2.038197889575124955e-17 2.386370385610697451e-17 2.788054747691838865e-17 9.636106952380505408e-01
1.212135000000002947e+03 2.209972753965395773e-18 1.771890306473261223e-17 2.078461368124893878e-17 2.432870681139225715e-17 2.841633316285638303e-17 9.636106952380505408e-01
1.212140000000003056e+03 2.261289042685433095e-18 1.807310477114057261e-17 2.119451365505031618e-17 2.480196486156063151e-17 2.896147414205425530e-17 9.636106952380505408e-01
1.212145000000003165e+03 2.313721736205586127e-18 1.843378804582863795e-17 2.161179519797497503e-17 2.528360753836990037e-17 2.951611412365453753e-17 9.636106952380505408e-01
1.212150000000003274e+03 2.367293274076690735e-18 1.880105856949986014e-17 2.203657625752506429e-17 2.577376606597535141e-17 3.008039863660252912e-17 9.636106952380505408e-01
1.212155000000003383e+03 2.422026503494701633e-18 1.917502348170333131e-17 2.246897636325108796e-17 2.627257337657591955e-17 3.065447504540344211e-17 9.636106952380505408e-01
