line,wavelength,absorption,emission,ISM
CII,1174,n,y,n
SiIII,1206.51,n,y,n
?,1218,n,y,n
NV,1238.821,n,y,n
NV,1242.804,n,y,n
Si?,1262,y,n,n
Si?,1290,y,y,n
SiIII,1294.545,y,n,n
SiIII,1296.726,y,n,n
SiIII,1298.892,y,n,n
SiIII,1301.149,y,n,n
SiIII,1303.323,y,n,n
SiIII,1312.591,y,n,n
O,1302,y,y,n
Si,1300,y,y,n
CII,1334,y,y,n
CII,1335,y,y,n
?,1356,y,n,n
SiIV,1393.755,y,y,n
SIIV,1402.77,,,n
?,1492,y,n,n
CII,1334.532,n,n,y
CII,1335.703,n,n,y
NI,1134.165,n,n,y
NI,1134.415,n,n,y
NI,1134.98,n,n,y
NI,1199.549,n,n,y
NI,1200.224,n,n,y
NI,1200.711,n,n,y
OI,1302.168,n,n,y
SiII,1190.416,n,n,y
SiII,1193.289,n,n,y
SiII,1260.421,n,n,y
SiII,1304.372,n,n,y
SII,1250.586,n,n,y
SII,1253.812,n,n,y
SII,1259.52,n,n,y
