#WAVELENGTH FLUX
1000.616 3.274392157793478e-16
1001.232 3.2485822297958985e-16
1001.848 3.2134338005773776e-16
1002.464 3.1692558071548546e-16
1003.08 3.116408024282236e-16
1003.696 3.055148551239497e-16
1004.312 2.9876829636918853e-16
1004.856 2.924190540817841e-16
1004.928 2.9154855560113847e-16
1005.0 2.9067062698970563e-16
1005.144 2.889057753979924e-16
1005.432 2.8505579447168684e-16
1006.008 2.771540459092765e-16
1006.584 2.685968815995337e-16
1006.624 2.67988392994015e-16
1007.16 2.59600948513832e-16
1007.468 2.547729277402243e-16
1008.312 2.416047806877624e-16
1008.734 2.353114599110194e-16
1009.156 2.2947411452890026e-16
1009.578 2.240059293290495e-16
1010.0 2.1885567551498714e-16
1010.844 2.090725396253593e-16
1011.688 1.9984275294961897e-16
1012.532 1.9082687582864647e-16
1013.44 1.8131239782590252e-16
1014.22 1.7342003469185494e-16
1015.0 1.6567197251888472e-16
1016.56 1.5078942055215943e-16
1018.12 1.3662602703373034e-16
1019.36 1.2540926696169153e-16
1019.569 1.2349620381374975e-16
1019.68 1.224774937768756e-16
1020.0 1.19509352057154e-16
1020.104 1.1852935691227623e-16
1020.64 1.134588792392973e-16
1021.175 1.0824019001008981e-16
1021.711 1.0279468626211574e-16
1021.979 9.993486802808096e-17
1022.247 9.697493855817677e-17
1022.514 9.387618296040682e-17
1022.782 9.058659031926083e-17
1022.927 8.871771689652702e-17
1023.05 8.709638414686092e-17
1023.122 8.611052310925642e-17
1023.318 8.336958696781655e-17
1023.513 8.049686376978297e-17
1023.708 7.741805220728387e-17
1023.903 7.411047082844259e-17
1024.001 7.235891526024326e-17
1024.098 7.050138256344778e-17
1024.196 6.85535151186608e-17
1024.294 6.647816227194636e-17
1024.391 6.428510051118237e-17
1024.489 6.19422629561294e-17
1024.587 5.942071120266894e-17
1024.662 5.732424114213831e-17
1024.684 5.669033366813716e-17
1024.706 5.604625864674303e-17
1024.75 5.472134900953397e-17
1024.793 5.3342864218754176e-17
1024.837 5.188890494155722e-17
1024.88 5.035751588036752e-17
1024.924 4.8758473523062966e-17
1024.967 4.706401264407039e-17
1025.011 4.526201039842122e-17
1025.054 4.3353639964660833e-17
1025.098 4.1321303664609035e-17
1025.141 3.914935911766124e-17
1025.164 3.795025332646462e-17
1025.185 3.681590699097102e-17
1025.205 3.547476838388469e-17
1025.225 3.4040322976491965e-17
1025.246 3.252101765431932e-17
1025.266 3.066802124789919e-17
1025.287 2.804143090867889e-17
1025.307 2.4724346783620323e-17
1025.328 2.0791656769867985e-17
1025.348 1.7227696772917427e-17
1025.369 1.4280828690818077e-17
1025.389 1.1937560970298474e-17
1025.41 1.0305513189918222e-17
1025.43 9.507829990986983e-18
1025.439 9.292786363625334e-18
1025.447 9.118725773447721e-18
1025.451 9.048530590484608e-18
1025.455 8.985687326405655e-18
1025.471 8.829967427486927e-18
1025.503 8.755275060099993e-18
1025.535 8.755314166051505e-18
1025.556 8.757543205287659e-18
1025.561 8.75809068860882e-18
1025.568 8.758755489784516e-18
1025.579 8.760006880232883e-18
1025.602 8.762470555178106e-18
1025.611 8.763448203965893e-18
1025.642 8.76681131579588e-18
1025.657 8.768414659807852e-18
1025.673 8.770174427625869e-18
1025.689 8.771895089492374e-18
1025.704 8.773537539455856e-18
1025.72 8.775258201322362e-18
1025.736 8.776978863188867e-18
1025.751 8.778621313152349e-18
1025.767 8.780341975018854e-18
1025.798 8.783705086848841e-18
1025.829 8.78706819867883e-18
1025.86 8.790431310508817e-18
1025.891 8.793794422338805e-18
1025.922 8.79762680558693e-18
1025.953 8.820112727706034e-18
1025.975 8.922922274229723e-18
1025.984 9.02510612552923e-18
1025.995 9.205306350094145e-18
1026.015 9.725415505196875e-18
1026.035 1.066317622244225e-17
1026.055 1.2376212428402785e-17
1026.075 1.4719714784631455e-17
1026.095 1.756623699515234e-17
1026.115 2.1030359497894083e-17
1026.135 2.4624548395363017e-17
1026.155 2.7642237355649663e-17
1026.175 3.0075370552742654e-17
1026.195 3.187295382587102e-17
1026.215 3.3398946265752125e-17
1026.225 3.4127490142411064e-17
1026.235 3.483648104331426e-17
1026.245 3.552607539226776e-17
1026.265 3.680749921139605e-17
1026.285 3.793949918979896e-17
1026.305 3.904236523432582e-17
1026.345 4.1154321251655e-17
1026.385 4.3151853254861575e-17
1026.425 4.5046145546077835e-17
1026.465 4.683798024433401e-17
1026.505 4.8548474563446296e-17
1026.545 5.0168243075051946e-17
1026.585 5.171527451684623e-17
1026.596 5.213136184092842e-17
1026.665 5.463570697572382e-17
1026.734 5.696251109065708e-17
1026.803 5.916691357735941e-17
1026.872 6.124187536455872e-17
1026.941 6.322337392764559e-17
1027.01 6.510358807631772e-17
1027.079 6.691888634548078e-17
1027.217 7.034691405497742e-17
1027.355 7.352974744849706e-17
1027.493 7.650531929900585e-17
1027.53 7.727336018669139e-17
1027.631 7.932564052201403e-17
1027.732 8.129501624013234e-17
1027.934 8.506561208486959e-17
1028.136 8.861252188696114e-17
1028.338 9.203781217985198e-17
1028.54 9.531410879748407e-17
1028.742 9.845940047755268e-17
1028.944 1.0142324054260801e-16
1029.146 1.0422361773034535e-16
1029.371 1.0720583759261108e-16
1029.458 1.0833873700789875e-16
1029.55 1.095342059456048e-16
1029.729 1.1189307694077748e-16
1030.0 1.1563434332188112e-16
1030.271 1.1968728413653127e-16
1030.542 1.2399675999309674e-16
1031.084 1.3294302852037883e-16
1031.626 1.4194795597492814e-16
1032.168 1.5065646031702038e-16
1032.71 1.5900714520278258e-16
1033.742 1.7542304152827312e-16
1033.794 1.7624817710516542e-16
1033.846 1.7707683221769376e-16
1033.95 1.7874509210917365e-16
1034.158 1.8208317613019386e-16
1034.574 1.888563269319828e-16
1035.406 2.0285703969212413e-16
1035.553 2.054133957424298e-16
1036.238 2.177579714560598e-16
1036.581 2.2378028798882827e-16
1036.923 2.2997975448194374e-16
1037.265 2.363817898038887e-16
1037.608 2.43404827635836e-16
1037.95 2.507125567947869e-16
1037.956 2.5082400875659465e-16
1038.293 2.5775201912636907e-16
1038.467 2.6135250408203135e-16
1038.978 2.717163633516047e-16
1039.489 2.8328703228482247e-16
1040.0 2.959522768008466e-16
1040.511 3.0831914290683816e-16
1041.022 3.2131757012974016e-16
1041.533 3.349475584695526e-16
1042.044 3.4890681892109177e-16
1042.555 3.6363333814128623e-16
1043.066 3.7857767751139964e-16
1043.176 3.818457618792143e-16
1044.088 4.0683876654971853e-16
1044.544 4.1827725736682743e-16
1044.772 4.240180110487132e-16
1045.0 4.3090456910988547e-16
1045.228 4.3885480905217006e-16
1045.456 4.470083999423144e-16
1045.684 4.552910404724466e-16
1045.912 4.623809494814785e-16
1046.14 4.695803551547426e-16
1046.368 4.768501515407274e-16
1046.596 4.845735769642455e-16
1046.824 4.937947603306532e-16
1047.052 5.032857747624903e-16
1047.28 5.129566765712801e-16
1047.508 5.228778564697435e-16
1047.736 5.330610462433338e-16
1047.964 5.438151829089917e-16
1048.192 5.562665178702481e-16
1048.42 5.690307004435963e-16
1048.648 5.820256081308622e-16
1048.876 5.928188507480317e-16
1049.104 6.023255075604734e-16
1049.12 6.029942193313198e-16
1049.56 6.214835132059491e-16
1050.0 6.399884494611831e-16
1050.44 6.5864980952246305e-16
1050.88 6.784999905096921e-16
1051.32 7.007825616809353e-16
1051.54 7.121584829756259e-16
1051.65 7.17828845944791e-16
1051.76 7.235539572460722e-16
1051.87 7.271751683560356e-16
1051.98 7.297248763945843e-16
1052.09 7.322589420525284e-16
1052.2 7.347656335444145e-16
1052.31 7.372253978944868e-16
1052.42 7.396421456978965e-16
1052.53 7.420119663594924e-16
1052.64 7.443270386889722e-16
1052.86 7.474398724292863e-16
1053.08 7.484214318122245e-16
1053.3 7.490862329879197e-16
1053.74 7.492270144133611e-16
1054.18 7.486247827600842e-16
1054.24 7.484761801443406e-16
1054.62 7.467594288729865e-16
1055.0 7.449410021277025e-16
1055.38 7.4576222710944365e-16
1055.76 7.478465743250058e-16
1056.14 7.489102562061181e-16
1056.33 7.492387461988145e-16
1056.52 7.494460077418254e-16
1056.615 7.495085772642438e-16
1056.71 7.485583026425147e-16
1056.805 7.454650218779564e-16
1056.9 7.425007907533859e-16
1056.995 7.394974536773041e-16
1057.09 7.364471894594083e-16
1057.185 7.333617298851522e-16
1057.28 7.302332537642336e-16
1057.47 7.237964141454434e-16
1057.85 7.09972460286134e-16
1058.04 7.028708194916485e-16
1058.135 6.992769825477432e-16
1058.23 6.980412344799804e-16
1058.325 6.973881650897386e-16
1058.42 6.968054864122175e-16
1058.515 6.961993441637895e-16
1058.61 6.955697383444546e-16
1058.8 6.942518677785176e-16
1058.895 6.93497122914346e-16
1058.99 6.932429342295213e-16
1059.085 6.958200164341281e-16
1059.18 6.984049198290371e-16
1059.37 7.035708160237042e-16
1059.5 7.071763847530629e-16
1059.75 7.14164618288165e-16
1059.875 7.176137632114778e-16
1060.0 7.246176391271845e-16
1060.125 7.318991672986228e-16
1060.25 7.393214768955024e-16
1060.375 7.468532831566141e-16
1060.5 7.558241884333483e-16
1060.625 7.673252487728756e-16
1060.75 7.791860838663086e-16
1060.875 7.913128394300196e-16
1061.0 8.051524356699336e-16
1061.125 8.215730247096056e-16
1061.25 8.385371864752871e-16
1061.375 8.563343050081632e-16
1061.5 8.771738665686328e-16
1061.625 8.986508551387395e-16
1061.75 9.215786745099223e-16
1061.875 9.461293908688316e-16
1062.0 9.714270309016103e-16
1062.25 1.0254636347001783e-15
1062.5 1.0824058106960494e-15
1062.75 1.1417686450904812e-15
1063.0 1.2027113599259772e-15
1063.25 1.2650736208013399e-15
1063.5 1.3303414538740058e-15
1063.75 1.3988159749706134e-15
1064.0 1.4704111509978374e-15
1064.25 1.5459521175325701e-15
1064.5 1.623870725919201e-15
1064.75 1.7023837447688063e-15
1064.875 1.7406841136791534e-15
1065.0 1.7789844825895e-15
1065.125 1.812846326003294e-15
1065.25 1.8462232556183447e-15
1065.312 1.8628393744155742e-15
1065.375 1.8795258839255245e-15
1065.437 1.894131956815063e-15
1065.5 1.903267107088146e-15
1065.562 1.9124491845030424e-15
1065.625 1.9216664572742988e-15
1065.687 1.930922835997067e-15
1065.75 1.940276979598614e-15
1065.812 1.9489311266681052e-15
1065.875 1.9575852737375965e-15
1065.937 1.966270705568297e-15
1066.0 1.9749913327553578e-15
1066.125 1.992530352008258e-15
1066.25 2.010206242091449e-15
1066.375 2.0280190030049293e-15
1066.5 2.039926765240176e-15
1066.625 2.0481859421994016e-15
1066.75 2.0555691458447696e-15
1066.875 2.062913243538626e-15
1067.125 2.0765299358549247e-15
1067.5 2.0940963292738832e-15
1067.688 2.1023046684961434e-15
1067.875 2.108276147291947e-15
1068.063 2.106704088041185e-15
1068.25 2.1032549431178725e-15
1068.344 2.101315287922903e-15
1068.438 2.096814192903931e-15
1068.531 2.086294691947342e-15
1068.625 2.075775190990753e-15
1068.719 2.0651422827747806e-15
1068.813 2.0544155202751807e-15
1068.906 2.0382334775397288e-15
1069.0 2.019634687000867e-15
1069.094 2.0008716514656576e-15
1069.188 1.9818974437922857e-15
1069.375 1.9423730585996294e-15
1069.5 1.912468737478798e-15
1069.563 1.8974872474547487e-15
1069.75 1.8526248998807747e-15
1070.0 1.7938291017832595e-15
1070.25 1.7408014315336877e-15
1070.5 1.6917391047673806e-15
1070.625 1.6707626723766208e-15
1070.75 1.6496884751070824e-15
1070.875 1.632544425964448e-15
1071.0 1.6160026084750904e-15
1071.25 1.5877290055322879e-15
1071.499 1.5636280076157607e-15
1071.749 1.542890121529221e-15
1071.999 1.5227427353105046e-15
1072.499 1.4780876492795416e-15
1072.749 1.4528721317449371e-15
1072.999 1.427617508258821e-15
1073.249 1.3999969747062602e-15
1073.499 1.3696429351430467e-15
1073.749 1.3398520212815985e-15
1073.998 1.3134594146064984e-15
1074.248 1.2900114860802128e-15
1074.373 1.278310985387977e-15
