wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1194.5000,0,3.2505,3.238e-09,1.018,4.2685
1194.5500,0,3.2505,3.9319e-09,1.087,4.3375
1194.6000,0,3.2505,4.7236e-09,1.0883,4.3388
1194.6500,0,3.2505,5.42e-09,1.0895,4.34
1194.7000,0,3.2505,5.5465e-09,1.0907,4.3412
1194.7500,0,3.2505,5.5416e-09,1.0919,4.3424
1194.8000,0,3.2505,5.5304e-09,1.0932,4.3437
1194.8500,0,3.2505,5.5192e-09,1.0944,4.3449
1194.9000,0,3.2505,5.5079e-09,1.0956,4.3461
1194.9500,0,3.2505,5.4966e-09,1.0969,4.3474
1195.0000,0,3.2505,5.4853e-09,1.0981,4.3486
1195.0500,0,3.2505,5.4739e-09,1.0993,4.3498
1195.1000,0,3.2505,5.4625e-09,1.1005,4.351
1195.1500,0,3.2505,5.4511e-09,1.1018,4.3523
1195.2000,0,3.2505,5.4396e-09,1.103,4.3535
1195.2500,0,3.2505,5.4282e-09,1.1042,4.3547
1195.3000,0,3.2505,5.4166e-09,1.1055,4.356
1195.3500,0,3.2505,5.4051e-09,1.1067,4.3572
1195.4000,0,3.2505,5.3935e-09,1.1079,4.3584
1195.4500,0,3.2505,5.3819e-09,1.1092,4.3597
1195.5000,0,3.2505,5.3702e-09,1.1104,4.3609
1195.5500,0,3.2505,5.3585e-09,1.1117,4.3622
1195.6000,0,3.2505,5.3468e-09,1.1129,4.3634
1195.6500,0,3.2505,5.3351e-09,1.1141,4.3646
1195.7000,0,3.2505,5.3233e-09,1.1154,4.3659
1195.7500,0,3.2505,5.3115e-09,1.1166,4.3671
1195.8000,0,3.2505,5.2996e-09,1.1178,4.3683
1195.8500,0,3.2505,5.2877e-09,1.1126,4.3631
1195.9000,0,3.2505,5.2758e-09,1.0785,4.329
1195.9500,0,3.2505,5.2639e-09,1.0797,4.3302
1196.0000,0,3.2505,5.2519e-09,1.0809,4.3314
1196.0500,0,3.2505,5.2399e-09,1.0821,4.3326
1196.1000,0,3.2505,5.2278e-09,1.0833,4.3338
1196.1500,0,3.2505,5.2157e-09,1.0845,4.335
1196.2000,0,3.2505,5.2036e-09,1.0789,4.3294
1196.2500,0,3.2505,5.1915e-09,1.0704,4.3209
1196.3000,0,3.2505,5.1793e-09,1.0716,4.3221
1196.3500,0,3.2505,5.1671e-09,1.0728,4.3233
1196.4000,0,3.2505,5.1548e-09,1.074,4.3245
1196.4500,0,3.2505,5.1426e-09,1.0752,4.3257
1196.5000,0,3.2505,5.1302e-09,1.0764,4.3269
1196.5500,0,3.2505,5.1179e-09,1.0775,4.328
1196.6000,0,3.2505,5.1055e-09,1.0787,4.3292
1196.6500,0,3.2505,5.0931e-09,1.0603,4.3108
1196.7000,0,3.2505,5.0807e-09,1.0575,4.308
1196.7500,0,3.2505,5.0682e-09,1.0586,4.3091
1196.8000,0,3.2505,5.0557e-09,1.0598,4.3103
1196.8500,0,3.2505,5.0431e-09,1.0609,4.3114
1196.9000,0,3.2505,5.0305e-09,1.0621,4.3126
1196.9500,0,3.2505,5.0179e-09,1.0633,4.3138
1197.0000,0,3.2505,5.0053e-09,1.0644,4.3149
1197.0500,0,3.2505,4.9926e-09,1.0656,4.3161
1197.1000,0,3.2505,4.9799e-09,1.0668,4.3173
1197.1500,0,3.2505,4.9671e-09,1.0679,4.3184
1197.2000,0,3.2505,4.9544e-09,1.0691,4.3196
1197.2500,0,3.2505,4.9415e-09,1.0703,4.3208
1197.3000,0,3.2505,4.9287e-09,1.0714,4.3219
1197.3500,0,3.2505,4.9158e-09,1.0726,4.3231
1197.4000,0,3.2505,4.9029e-09,1.0511,4.3016
1197.4500,0,3.2505,4.8899e-09,1.035,4.2855
1197.5000,0,3.2505,4.877e-09,1.0361,4.2866
1197.5500,0,3.2505,4.864e-09,1.0373,4.2878
1197.6000,0,3.2505,4.8509e-09,1.0384,4.2889
1197.6500,0,3.2505,4.8378e-09,1.0395,4.29
1197.7000,0,3.2505,4.8247e-09,1.0407,4.2912
1197.7500,0,3.2505,4.8115e-09,1.0418,4.2923
1197.8000,0,3.2505,4.7984e-09,1.0429,4.2934
1197.8500,0,3.2505,4.7851e-09,1.0441,4.2946
1197.9000,0,3.2505,4.7719e-09,1.0452,4.2957
1197.9500,0,3.2505,4.7586e-09,1.0463,4.2968
1198.0000,0,3.2505,4.7453e-09,1.0475,4.298
1198.0500,0,3.2505,4.7319e-09,1.0486,4.2991
1198.1000,0,3.2505,4.7185e-09,1.0497,4.3002
1198.1500,0,3.2505,4.7051e-09,1.0509,4.3014
1198.2000,0,3.2505,4.6917e-09,1.052,4.3025
1198.2500,0,3.2505,4.6782e-09,1.0531,4.3036
1198.3000,0,3.2505,4.6646e-09,1.0543,4.3048
1198.3500,0,3.2505,4.6511e-09,1.0554,4.3059
1198.4000,0,3.2505,4.6375e-09,1.0565,4.307
1198.4500,0,3.2505,4.6238e-09,1.0577,4.3082
1198.5000,0,3.2505,4.6102e-09,1.0588,4.3093
1198.5500,0,3.2505,4.5965e-09,1.06,4.3105
1198.6000,0,3.2505,4.5828e-09,1.0611,4.3116
1198.6500,0,3.2505,4.569e-09,1.0622,4.3127
1198.7000,0,3.2505,4.5552e-09,1.0634,4.3139
1198.7500,0,3.2505,4.5414e-09,1.0645,4.315
1198.8000,0,3.2505,4.5275e-09,1.0657,4.3162
1198.8500,0,3.2505,4.5136e-09,1.0668,4.3173
1198.9000,0,3.2505,4.4996e-09,1.068,4.3185
1198.9500,0,3.2505,4.4857e-09,1.0691,4.3196
1199.0000,0,3.2505,4.4717e-09,1.0703,4.3208
