#WAVELENGTH FLUX
900.0 1.4531576051909708e-18
900.156 1.4569469718924336e-18
900.312 1.4607402491890476e-18
900.469 1.464545258271115e-18
900.625 1.4683580885434845e-18
900.781 1.4721787400061565e-18
900.938 1.4760072126591308e-18
901.094 1.4798474170975584e-18
901.25 1.4836915321311372e-18
901.406 1.4875473789501695e-18
901.562 1.491411046959504e-18
901.719 1.4952825361591409e-18
901.875 1.4991618465490801e-18
902.031 1.5030489781293215e-18
902.188 1.5069478414950164e-18
902.344 1.5108545260510136e-18
902.5 1.514769031797313e-18
902.656 1.5186913587339148e-18
902.812 1.522621506860819e-18
902.969 1.5265633867731766e-18
903.125 1.5305091772806851e-18
903.281 1.5344666995736473e-18
903.438 1.5384320430569118e-18
903.594 1.5424091183256296e-18
903.75 1.5463901041894987e-18
903.906 1.550382821838821e-18
904.062 1.554383360678446e-18
904.219 1.5583956313035242e-18
904.375 1.5624118125237534e-18
904.531 1.5664397255294364e-18
904.688 1.5704754597254214e-18
904.844 1.5745190151117087e-18
905.0 1.5785743022834497e-18
905.312 1.586704429602687e-18
905.938 1.6030780915005452e-18
907.188 1.6362516701677367e-18
909.375 1.695704448250645e-18
909.688 1.7043429529395317e-18
910.0 1.71302056357993e-18
910.46 1.7258590474611498e-18
910.625 1.7304852815249583e-18
910.77 1.7345562110773038e-18
910.79 1.735119336779069e-18
911.12 1.744465659190314e-18
911.541 1.7564477227334322e-18
911.78 1.7632795324624884e-18
912.165 1.774342606145087e-18
912.478 1.7833447961830306e-18
912.634 1.7878576229874556e-18
912.712 1.7901179469848196e-18
912.79 1.7923782709821832e-18
912.868 1.8003989016371885e-18
912.946 1.8098781842835722e-18
913.024 1.820847403682543e-18
913.102 1.8327629871080922e-18
913.18 1.8456757722971843e-18
913.258 1.8611812820714872e-18
913.336 1.8786108046601555e-18
913.375 1.887847630407168e-18
913.414 1.8974012143614234e-18
913.454 1.907803397463478e-18
913.493 1.9191284810212034e-18
913.532 1.9308016075473815e-18
913.571 1.9428071346614067e-18
913.61 1.954984727962083e-18
913.649 1.9672366225706307e-18
913.688 1.9792577920652607e-18
913.727 1.9904616471733008e-18
913.766 1.999745400062127e-18
913.805 2.0050090611355726e-18
913.844 2.0001599231481486e-18
913.883 1.981404708803241e-18
913.922 1.9396669267550346e-18
913.961 1.894566032876841e-18
914.0 1.8671566714624422e-18
914.029 1.8595310109177027e-18
914.039 1.8591047560462275e-18
914.049 1.8597891101976784e-18
914.069 1.8641064072445463e-18
914.109 1.8824822938597923e-18
914.149 1.897123562105692e-18
914.189 1.8784309172832027e-18
914.229 1.8493204469780546e-18
914.252 1.8402009390855764e-18
914.269 1.8370098934422394e-18
914.286 1.8363724664326023e-18
914.32 1.8438104184100865e-18
914.354 1.86820471096295e-18
914.388 1.905906758815171e-18
914.422 1.930527865886801e-18
914.456 1.9082022781688952e-18
914.49 1.8652874069801933e-18
914.524 1.8388635155438836e-18
914.54 1.8337249935152747e-18
914.558 1.831022772265831e-18
914.576 1.830514394896182e-18
914.612 1.8365054266677412e-18
914.648 1.861091338383011e-18
914.684 1.9214240003749276e-18
914.72 1.9956783811049326e-18
914.756 2.0130218706002754e-18
