#wdid:V* EG UMa,resolution:nan,source:/home/bergeron/daspec/2004_feb56,wavelength_min: 3104.46,wavelength_max: 5318.68
wavelength,flux
3104.46,6.54529e-26
3106.32,7.76452e-26
3108.18,8.26759e-26
3110.04,6.72684e-26
3111.90,8.17107e-26
3113.76,8.56624e-26
3115.62,6.24145e-26
3117.48,6.61631e-26
3119.34,7.14381e-26
3121.20,7.81332e-26
3123.06,7.83138e-26
3124.93,8.52834e-26
3126.79,8.00368e-26
3128.65,7.57213e-26
3130.51,9.03228e-26
3132.37,8.58270e-26
3134.23,7.59175e-26
3136.09,8.16076e-26
3137.95,8.20282e-26
3139.81,7.21363e-26
3141.67,7.84654e-26
3143.53,7.69113e-26
3145.39,7.16357e-26
3147.25,7.58113e-26
3149.11,8.11639e-26
3150.97,7.62438e-26
3152.84,8.06480e-26
3154.70,8.05862e-26
3156.56,7.13424e-26
3158.42,7.45216e-26
3160.28,8.27947e-26
3162.14,8.08738e-26
3164.00,7.70416e-26
3165.86,8.60931e-26
3167.72,9.23630e-26
3169.58,8.23320e-26
3171.44,7.49821e-26
3173.30,8.09194e-26
3175.16,7.51465e-26
3177.02,7.78579e-26
3178.89,8.02646e-26
3180.75,7.84043e-26
3182.61,8.12714e-26
3184.47,8.70971e-26
3186.33,8.60307e-26
3188.19,8.26337e-26
3190.05,8.74832e-26
3191.91,8.52569e-26
3193.77,7.96682e-26
3195.63,7.91131e-26
3197.49,7.75034e-26
3199.35,7.47414e-26
3201.21,7.69271e-26
3203.07,8.62806e-26
3204.94,8.95198e-26
3206.80,8.85587e-26
3208.66,8.54669e-26
3210.52,8.64607e-26
3212.38,8.92425e-26
3214.24,8.89294e-26
3216.10,9.24711e-26
3217.96,8.88416e-26
3219.82,8.03511e-26
3221.68,8.15938e-26
3223.54,8.45730e-26
3225.40,7.94992e-26
3227.26,8.10531e-26
3229.12,8.85222e-26
3230.98,8.69378e-26
3232.85,9.19998e-26
3234.71,9.23000e-26
3236.57,8.94457e-26
3238.43,8.99282e-26
3240.29,9.50749e-26
3242.15,9.09808e-26
3244.01,8.77686e-26
3245.87,8.81970e-26
3247.73,8.73761e-26
3249.59,8.67998e-26
3251.45,8.23224e-26
3253.31,8.12073e-26
3255.17,8.64034e-26
3257.03,8.56706e-26
3258.90,8.51755e-26
3260.76,8.87888e-26
3262.62,8.69585e-26
3264.48,8.30192e-26
3266.34,8.33152e-26
3268.20,8.61786e-26
3270.06,8.80869e-26
3271.92,8.95584e-26
3273.78,8.68899e-26
3275.64,8.41238e-26
3277.50,9.21686e-26
3279.36,9.07767e-26
3281.22,8.58881e-26
3283.08,8.63779e-26
3284.94,8.56134e-26
3286.81,8.54922e-26
3288.67,9.43253e-26
3290.53,9.23240e-26
3292.39,9.10552e-26
3294.25,8.43437e-26
3296.11,8.41906e-26
3297.97,7.93194e-26
3299.83,8.37901e-26
3301.69,8.24414e-26
3303.55,9.07317e-26
3305.41,9.09685e-26
3307.27,8.93065e-26
3309.13,8.93743e-26
3310.99,8.75756e-26
3312.86,8.43295e-26
3314.72,8.15571e-26
3316.58,7.98823e-26
3318.44,8.86488e-26
3320.30,8.73288e-26
3322.16,8.85319e-26
3324.02,9.19622e-26
3325.88,9.01200e-26
3327.74,8.53020e-26
3329.60,8.78232e-26
3331.46,8.57876e-26
3333.32,8.89775e-26
3335.18,8.66564e-26
3337.04,8.48816e-26
3338.90,8.46051e-26
3340.77,8.59593e-26
3342.63,8.25235e-26
3344.49,8.65767e-26
3346.35,9.07874e-26
3348.21,8.83541e-26
3350.07,8.47716e-26
3351.93,8.81401e-26
3353.79,8.81691e-26
3355.65,8.65390e-26
3357.51,8.93071e-26
3359.37,8.71200e-26
3361.23,8.12999e-26
3363.09,8.46719e-26
3364.95,8.33808e-26
3366.82,8.55991e-26
3368.68,8.59462e-26
3370.54,8.17941e-26
3372.40,8.15336e-26
3374.26,8.63016e-26
3376.12,8.44939e-26
3377.98,9.06531e-26
3379.84,8.67894e-26
3381.70,8.40771e-26
3383.56,8.28178e-26
3385.42,8.33233e-26
3387.28,8.63941e-26
3389.14,8.94127e-26
3391.00,8.76056e-26
3392.86,8.49306e-26
3394.73,8.40569e-26
3396.59,8.37538e-26
3398.45,8.50701e-26
3400.31,8.33960e-26
3402.17,8.48946e-26
3404.03,8.94102e-26
3405.89,8.53478e-26
3407.75,8.04062e-26
3409.61,8.31371e-26
3411.47,8.70081e-26
3413.33,8.74705e-26
3415.19,8.13657e-26
3417.05,8.50544e-26
3418.91,9.01878e-26
3420.78,8.68390e-26
3422.64,8.29198e-26
3424.50,7.88571e-26
3426.36,8.12759e-26
3428.22,8.13665e-26
3430.08,8.18854e-26
3431.94,8.38176e-26
3433.80,7.96699e-26
3435.66,8.04018e-26
3437.52,8.22958e-26
3439.38,8.26732e-26
3441.24,8.03763e-26
3443.10,7.97989e-26
3444.96,8.13401e-26
3446.82,7.73022e-26
3448.69,7.68171e-26
3450.55,8.15513e-26
3452.41,8.26939e-26
3454.27,8.06032e-26
3456.13,8.03015e-26
3457.99,7.99459e-26
3459.85,7.77621e-26
3461.71,8.24904e-26
3463.57,8.06022e-26
3465.43,7.91341e-26
3467.29,8.02858e-26
3469.15,8.02355e-26
3471.01,8.11035e-26
3472.87,8.28994e-26
3474.74,8.23886e-26
3476.60,8.01984e-26
3478.46,7.93914e-26
3480.32,7.47970e-26
3482.18,7.53208e-26
3484.04,7.92236e-26
3485.90,8.14673e-26
3487.76,7.78043e-26
3489.62,7.53403e-26
3491.48,7.98424e-26
3493.34,8.10560e-26
3495.20,8.07076e-26
3497.06,8.01093e-26
3498.92,7.80616e-26
3500.79,8.22303e-26
3502.65,8.49449e-26
3504.51,8.00440e-26
3506.37,7.62128e-26
3508.23,7.98317e-26
3510.09,8.24683e-26
3511.95,7.83563e-26
3513.81,7.71692e-26
3515.67,7.92796e-26
3517.53,8.14360e-26
3519.39,8.16442e-26
3521.25,7.92892e-26
3523.11,7.93097e-26
3524.97,7.89718e-26
3526.83,7.73519e-26
3528.70,7.88020e-26
3530.56,7.83440e-26
3532.42,7.88978e-26
3534.28,7.94341e-26
3536.14,8.01541e-26
3538.00,7.86796e-26
3539.86,7.72329e-26
3541.72,7.83032e-26
3543.58,7.60218e-26
3545.44,7.63176e-26
3547.30,7.97329e-26
3549.16,7.87779e-26
3551.02,8.05777e-26
3552.88,7.90423e-26
3554.75,7.62258e-26
3556.61,7.98968e-26
3558.47,7.89275e-26
3560.33,7.99161e-26
3562.19,7.98273e-26
3564.05,7.85888e-26
3565.91,7.46777e-26
3567.77,7.90242e-26
3569.63,8.05386e-26
3571.49,7.80815e-26
3573.35,7.85586e-26
3575.21,7.83332e-26
3577.07,7.70364e-26
3578.93,7.60657e-26
3580.79,7.57885e-26
3582.66,7.72713e-26
3584.52,7.80040e-26
3586.38,7.93782e-26
3588.24,7.70575e-26
3590.10,7.41787e-26
3591.96,7.34085e-26
3593.82,7.40842e-26
3595.68,7.61204e-26
3597.54,8.13188e-26
3599.40,8.09911e-26
3601.26,7.92288e-26
3603.12,7.57176e-26
3604.98,7.40591e-26
3606.84,7.52247e-26
3608.71,7.62024e-26
3610.57,7.57798e-26
3612.43,7.62260e-26
3614.29,7.75384e-26
3616.15,7.73019e-26
3618.01,7.80344e-26
3619.87,7.65791e-26
3621.73,7.43686e-26
3623.59,7.39738e-26
3625.45,7.36068e-26
3627.31,7.44049e-26
3629.17,7.97606e-26
3631.03,7.41348e-26
3632.89,7.63105e-26
3634.75,7.54368e-26
3636.62,7.44690e-26
3638.48,7.58422e-26
3640.34,7.77387e-26
3642.20,7.72816e-26
3644.06,7.70815e-26
3645.92,7.87991e-26
3647.78,7.59434e-26
3649.64,7.66219e-26
3651.50,7.55937e-26
3653.36,7.41718e-26
3655.22,7.57605e-26
3657.08,7.40929e-26
3658.94,7.70181e-26
3660.80,7.78981e-26
3662.67,7.41821e-26
3664.53,7.36157e-26
3666.39,7.54086e-26
3668.25,7.69903e-26
3670.11,7.64372e-26
3671.97,7.62957e-26
3673.83,7.59382e-26
3675.69,7.76413e-26
3677.55,7.64823e-26
3679.41,7.68506e-26
3681.27,7.57247e-26
3683.13,7.84312e-26
3684.99,7.47654e-26
3686.85,7.71850e-26
