wdid:2QZ J125250.0-020608,resolution:1800,source:SDSS,wavelength_min:3831.7751012192257,wavelength_max:9251.24352594199
wavelength,flux
3831.7751012192257,5.397486638843458e-28
3832.6565960457365,4.333673207879153e-28
3833.5403981918244,2.5918379368463425e-28
3834.422299122584,2.037958905755467e-28
3835.3065084359014,2.6264212531319143e-28
3836.1888156580017,3.8141732574359487e-28
3837.0734323261304,4.237861191413986e-28
3837.9561460267496,1.6499667082592582e-28
3838.839062794496,3.971702563820813e-28
3839.724290603761,4.28605925522702e-28
3840.6076141308436,1.1534256698365132e-28
3841.4932497641403,4.211590434762307e-28
3842.376980237953,6.019781984639673e-28
3843.2630238831666,4.982254072335945e-28
3844.1471614911898,3.731552229593297e-28
3845.0315024939073,3.5636556351581123e-28
3845.9181582660904,4.69355797527862e-28
3846.8029066842887,5.237496592264032e-28
3847.6899709383656,2.8831706177270127e-28
3848.575126959741,2.7646149562769405e-28
3849.4625998838987,4.191612107801877e-28
3850.3481636962338,4.905521164502385e-28
3851.2339312313597,3.08325087371018e-28
3852.1220172699104,2.0986669719062954e-28
3853.0081928777204,2.088361295965186e-28
3853.896688057088,2.276488940087075e-28
3854.78327192558,3.530700446545604e-28
3855.6721764342556,4.69227331306865e-28
3856.5591687515152,5.345583448675597e-28
3857.4463651201922,4.921362585699099e-28
3858.3358837322767,4.250859925141898e-28
3859.2234888319,6.456814618489024e-28
3860.1134172447873,4.15446942889072e-28
3861.001431263659,4.2378192681523895e-28
3861.8917696661447,5.0814740417348825e-28
3862.780192792654,4.695978631870902e-28
3863.668820299736,4.989363097558969e-28
3864.5597737962416,3.453285941900791e-28
3865.448810693595,3.865866702194861e-28
3866.3401746519544,5.631923211819701e-28
3867.229621128185,4.118005352387092e-28
3868.121395737497,5.074951762782602e-28
3869.0112519812974,5.803552286499909e-28
3869.9013129353575,2.07048159069818e-28
3870.7937036309,2.739138056348003e-28
3871.6841746356195,4.870347265932065e-28
3872.576976455132,3.962069697127633e-28
3873.467857699421,5.75627821423056e-28
3874.3610708323085,3.700804981327486e-28
3875.252362505165,4.295818620954966e-28
3876.143859218499,4.896043585225036e-28
3877.0376894314263,4.127203970595977e-28
3877.929596856874,3.2734009629168822e-28
3878.8238388569566,1.8518480837544311e-28
3879.7161571837323,3.015028140813446e-28
3880.6108111606804,5.197751637146158e-28
3881.5035405780864,5.266737805094823e-28
3882.396475366721,3.7012241950825335e-28
3883.2917474191227,2.9014404160423226e-28
3884.1850935823913,6.586473792855282e-28
3885.080778086203,4.352480570157098e-28
3885.9745358136256,2.8519150178404486e-28
3886.8706329588636,3.172604041686947e-28
3887.7648024400473,3.8850949972526756e-28
3888.6591776237456,5.730337642150093e-28
3889.5558938414556,3.808013557315737e-28
3890.4506810633766,1.4473589607566462e-28
3891.3478103978227,3.673220812718629e-28
3892.243009847793,2.565087295902376e-28
3893.1405524892984,4.5361245292773345e-28
3894.0361643572305,4.848948556530876e-28
3894.9341204962057,5.903418192429465e-28
3895.8301449721007,5.79712406807844e-28
3896.726375577249,4.772524140210708e-28
3897.62495207299,3.353300356706997e-28
3898.5215955711533,4.0316398352148985e-28
3899.420586040659,3.7557124535051944e-28
3900.317642622057,1.5193366470369135e-28
3901.217047256046,3.507917079467426e-28
3902.114517110986,5.578405439830034e-28
3903.0121934276863,2.2716336891305828e-28
3903.91221941914,4.155469773806123e-28
3904.810309294894,9.3884274730222e-30
3905.710749927895,3.0141217730241114e-28
3906.6092535532293,5.663734438400886e-28
3907.510109018803,4.753816345276679e-28
3908.4090265843315,3.284249773084778e-28
3909.3081509446642,3.6270569384115686e-28
3910.2096287700156,4.76804025654057e-28
3911.109167356515,3.8178315682726137e-28
3912.0110604922734,4.793399486628107e-28
3912.911013495773,5.9891242466261585e-28
3913.8133221332714,7.032349722487793e-28
3914.7136897446935,5.069128261948233e-28
3915.614264484501,6.457086515085423e-29
3916.517196485707,3.338421769911981e-28
3917.4181861198704,4.815248403576291e-28
3918.321534101421,4.589033467516047e-28
3919.2229388210817,6.099457886970817e-28
3920.126702974619,2.949162309673692e-28
3921.028522971007,3.639852990507613e-28
3921.9305504298995,3.9546731442518143e-28
3922.834938952694,3.3778540630183233e-28
3923.7373819752092,4.28575256924866e-28
3924.6421871493676,3.4975571892700047e-28
3925.5450459269555,3.7291931496714016e-28
3926.4502679444286,5.035791653618034e-28
3927.3535426686276,4.540203356514161e-28
3928.2570251899897,4.132999610565454e-28
3929.162872583891,5.919366460721406e-28
3930.066771339222,4.432809003831597e-28
3930.9730360565886,4.138536815366886e-28
3931.877351237648,3.3660256566018767e-28
3932.78403347074,2.172511398578035e-28
3933.6887652693745,4.167880754912977e-28
3934.5937052003706,4.936615071697158e-28
3935.5010138186867,5.357099180124798e-28
3936.4063706550796,5.457639682192339e-28
3937.314097270046,4.3444928528131785e-28
3938.219871203905,3.7275961701969925e-28
