#SpT   Teff  logT  BCv     Mv    logL  B-V    Bt-Vt  U-B     V-Rc   V-Ic    V-Ks    J-H     H-K     Ks-W1   W1-W2  W1-W3  W1-W4  Msun  logAge b-y    SpT    M_J    M_Ks   Mbol i-z  z-Y  R_Rsun  
M0V    3870  3.588 -1.16   8.91 -1.20  1.408  1.623  1.204   0.889  1.766   3.680   0.626   0.193   0.122   ...    ...    ...    0.60  ...    ...    M0V     6.04   5.22   7.75 0.33 ...  0.559  
M0.5V  3800  3.580 -1.38   9.20 -1.27  1.441  ...    1.184   0.924  1.886   3.84    0.620   0.208   0.130   ...    ...    ...    0.56  ...    ...    M0.5V   6.19   5.36   7.90 0.37 ...  0.535  
M1V    3700  3.568 -1.44   9.69 -1.40  1.475  ...    1.172   0.959  2.019   4.02    0.613   0.225   0.137   ...    ...    ...    0.53  ...    ...    M1V     6.51   5.67   8.25 0.41 ...  0.496  
M1.5V  3650  3.562 -1.57   9.97 -1.47  1.486  ...    1.170   0.978  2.089   4.12    0.607   0.228   0.105   ...    ...    ...    0.50  ...    ...    M1.5V   6.69   5.85   8.40 0.47 ...  0.460   
M2V    3550  3.550 -1.65  10.30 -1.57  1.500  ...    1.170   1.001  2.173   4.24    0.600   0.234   0.110   ...    ...    ...    0.48  ...    ...    M2V     6.89   6.06   8.65 0.53 ...  0.434  
M2.5V  3500  3.544 -1.76  10.70 -1.68  1.522  ...    1.175   1.041  2.306   4.43    0.589   0.244   0.117   ...    ...    ...    0.44  ...    ...    M2.5V   7.01   6.27   8.94 0.57 ...  0.393  
M3V    3410  3.533 -1.97  11.14 -1.78  1.544  ...    1.181   1.079  2.420   4.60    0.579   0.252   0.122   ...    ...    ...    0.39  ...    ...    M3V     7.40   6.54   9.17 0.61 ...  0.369  
M3.5V  3250  3.512 -2.27  12.19 -2.07  1.602  ...    1.200   1.178  2.680   5.00    0.558   0.269   0.132   ...    ...    ...    0.28  ...    ...    M3.5V   8.02   7.19   9.92 0.66 ...  0.291  
M4V    3200  3.505 -2.59  12.80 -2.20  1.661  ...    1.222   1.241  2.831   5.25    0.557   0.282   0.139   ...    ...    ...    0.22  ...    ...    M4V     8.39   7.55  10.21 0.71 ...  0.258  
M4.5V  3100  3.491 -3.05  13.57 -2.31  1.72   ...    1.23    1.345  3.073   5.64    0.564   0.301   ...     ...    ...    ...    0.18  ...    ...    M4.5V   8.79   7.93  10.52 0.81 ...  0.243  
M5V    3030  3.481 -3.28  14.30 -2.52  1.874  ...    1.24    1.446  3.277   5.94    0.580   0.311   ...     0.17   ...    ...    0.15  ...    ...    M5V     9.25   8.36  11.02 0.91 0.47 0.199  
M5.5V  3000  3.477 -3.80  15.51 -2.79  1.91   ...    1.3     1.656  3.664   6.50    0.588   0.329   ...     0.19   ...    ...    0.12  ...    ...    M5.5V   9.93   9.01  11.71 1.13 0.52 0.149  
M6V    2850  3.455 -4.36  16.62 -3.02  2.00   ...    1.3     1.950  4.13    7.30    0.605   0.352   ...     0.21   ...    ...    0.11  ...    ...    M6V    10.28   9.32  12.26 1.45 0.60 0.127  
M6.5V  2710  3.433 -4.60  17.07 -3.09  2.06   ...    ...     2.003  4.31    7.60    0.609   0.364   ...     0.22   ...    ...    0.10  ...    ...    M6.5V  10.47   9.47  12.47 1.58 0.64 0.129  
M7V    2650  3.423 -5.06  17.81 -3.21  2.06   ...    ...     2.180  4.45    8.05    0.613   0.386   ...     0.24   ...    ...    0.09  ...    ...    M7V    10.76   9.76  12.75 1.77 0.70 0.118  
M7.5V  2600  3.415 -5.46  18.42 -3.29  2.17   ...    ...     2.160  4.56    8.45    0.650   0.422   ...     0.25   ...    ...    0.08  ...    ...    M7.5V  10.68   9.97  12.97 1.85 0.74 0.112  
M8V    2500  3.398 -5.70  18.84 -3.36  2.20   ...    ...     2.150  4.64    8.73    0.670   0.450   ...     0.26   ...    ...    0.077 ...    ...    M8V    11.23  10.11  13.14 1.93 0.77 0.111  
M8.5V  2440  3.387 -5.80  19.14 -3.44  ...    ...    ...     1.967  4.71    8.92    0.685   0.470   ...     0.265  ...    ...    0.071 ...    ...    M8.5V  11.45  10.22  13.34 1.96 0.80 0.107  
M9V    2400  3.380 -5.90  19.36 -3.57  ...    ...    ...     1.890  4.75    9.00    0.749   0.480   ...     0.27   ...    ...    0.065 ...    ...    M9V    11.53  10.30  13.67 1.99 0.82 0.095  
M9.5V  2320  3.365 -6.13  19.75 -3.55  ...    ...    ...     2.510  4.79    9.30    0.826   0.505   ...     0.27   ...    ...    ...   ...    ...    M9.5V  11.78  10.45  13.62 2.00 0.84 0.104  

