wdid:V* LM Com,resolution:1800,source:SDSS,wavelength_min:3608.2788340424636,wavelength_max:10394.411998508018
wavelength,flux
3608.2788340424636,1.6866269947779606e-26
3609.108913846418,2.0416387410675232e-26
3609.9391846091403,1.9188302284450827e-26
3610.7716286120535,1.7055135840109526e-26
3611.6022818801225,1.993596910405406e-26
3612.435109389593,1.6612551487268517e-26
3613.2661453392293,2.0263190303392418e-26
3614.0993565319386,1.8159364839901705e-26
3614.930775339443,1.8502802447766612e-26
3615.762385413751,1.9540116700716205e-26
3616.596172233908,1.778933395371549e-26
3617.4281654305832,2.0633479729377582e-26
3618.262336375933,1.9115591958031457e-26
3619.0947128714797,1.9659576249855214e-26
3619.9292681189886,1.9692786805636227e-26
3620.762028089992,1.910651334721927e-26
3621.596967816708,1.9475550574058268e-26
3622.430111439835,1.9304579667446607e-26
3623.263446726558,1.878828773439742e-26
3624.0989632748865,1.8995562902988796e-26
3624.9326824787813,1.8602213091093723e-26
3625.7685839491874,1.773531785793972e-26
3626.602687247124,1.762658850963249e-26
3627.4389738169416,1.8416349526691263e-26
3628.273461385872,1.8576820559304022e-26
3629.1081409275707,1.847681015049507e-26
3629.9450052494735,1.8435021332839286e-26
3630.7800693276413,1.8947152572112297e-26
3631.6173191925404,1.9470043072273481e-26
3632.4527679843336,1.8438397494507703e-26
3633.2904035698484,1.830385232485735e-26
3634.126237252504,1.966141370331837e-26
3634.9622632175992,1.849423587564683e-26
3635.8004774871724,1.7689249305336907e-26
3636.6368886090336,1.8987398945378226e-26
3637.4754890435233,1.6690412567298956e-26
3638.3122854995922,1.9767938170694694e-26
3639.1512722769044,1.7887526908411833e-26
3639.988454244704,1.7867078180778177e-26
3640.8258288051147,1.930536509830884e-26
3641.665395199962,1.8448819069601108e-26
3642.5031555384357,1.9369288492491268e-26
3643.343108721123,1.8238290704733448e-26
3644.1812550153873,1.8610035269873686e-26
3645.0215951641076,1.901039485663415e-26
3645.8601275919727,1.8616308932389756e-26
3646.6988529231207,1.8283863486683923e-26
3647.539773624358,1.8621154935097344e-26
3648.3788853558685,1.939630632495777e-26
3649.220193468874,1.9236804102258395e-26
3650.0596917787616,1.9104799209164288e-26
3650.901387482016,1.8933046716391023e-26
3651.741272548377,1.8265449667432764e-26
3652.5813508291935,1.8031007351567005e-26
3653.423628021456,1.837910420677546e-26
3654.264093325938,1.864813388102541e-26
3655.1067585549035,1.8242062676006213e-26
3655.947611061353,1.828643909155387e-26
3656.7906645057897,1.895635625991853e-26
3657.6319043925905,1.8086138278626583e-26
3658.473337805522,1.906176186655797e-26
3659.3169736769673,1.890985352401736e-26
3660.158794737873,1.842941000044203e-26
3661.0028192719647,1.8447503368006157e-26
3661.845028159434,1.852967411039465e-26
3662.6894415352285,1.8178902006054652e-26
3663.532038427933,1.8348189094901882e-26
3664.3748291589454,1.8487094855908821e-26
3665.2198259012625,1.8228892624571118e-26
3666.0630049055653,1.7757632828403728e-26
3666.9083909374813,1.7643324372483324e-26
3667.7519583939516,1.8189133754090918e-26
3668.5977338948114,1.8173705530195507e-26
3669.441689982409,1.767374162026519e-26
3670.2858402209954,1.7972287210527757e-26
3671.1322000294085,1.8827862074904835e-26
3671.9767391676096,1.9009943683346565e-26
3672.823488893585,1.8354162676626197e-26
3673.6684171105667,1.8110518237491762e-26
3674.5155569337394,1.7993076374347272e-26
3675.36087440875,1.8314164161916682e-26
3676.2063863479348,1.8858218549693524e-26
3677.0541114212083,1.90925600645657e-26
3677.900012887343,1.8978641021519838e-26
3678.748128507156,1.8470099998932987e-26
3679.594419679695,1.8157479663711049e-26
3680.4429260259717,1.833504176698598e-26
3681.2896070844527,1.8496804460945723e-26
3682.1364829207982,1.8347610543099568e-26
3682.985575461244,1.8545949295155115e-26
3683.832841452886,1.8189945736293594e-26
3684.682325169863,1.8492691427488198e-26
3685.5299814965456,1.8401456731247747e-26
3686.3798565702677,1.7904111652894864e-26
3687.2279034118183,1.7723817798180316e-26
3688.0781700225843,1.7543662874689096e-26
3688.9266075589126,1.79792290559042e-26
3689.775240277181,1.7756367432815408e-26
3690.626094298202,1.7549494190747407e-26
3691.475117981162,1.7470702335066215e-26
3692.326363990227,1.7250074856350933e-26
3693.175778817995,1.75236140344892e-26
3694.027416995693,1.77983473604114e-26
3694.877223148469,1.7148143249249403e-26
3695.727224798034,1.704355614874213e-26
3696.57945133354,1.7247824908509017e-26
3697.429844578462,1.698009147520617e-26
3698.2824637343283,1.7535946654412825e-26
3699.1332487550153,1.7559335268166607e-26
3699.9862607121227,1.724264572834058e-26
3700.837437689065,1.761140520829506e-26
3701.688810478153,1.7810821856005754e-26
3702.5424117421494,1.7098775625116657e-26
3703.3941767582774,1.7293895415220795e-26
3704.2481712759713,1.6741672166882334e-26
3705.1003286998384,1.7382460760068104e-26
3705.9547166524017,1.7663384836489675e-26
3706.80726666479,1.7628877009696143e-26
3707.660012805188,1.8160998465567986e-26
3708.514991015253,1.776531155366023e-26
3709.368130015394,1.740683569658372e-26
3710.2235021135148,1.698371005445515e-26
3711.0770341543885,1.699274620284602e-26
3711.9328003220294,1.702361454869474e-26
3712.7867255847095,1.6822908132747706e-26
3713.640847291774,1.7464269490430896e-26
3714.4972046690623,1.660000829679841e-26
3715.3517198695927,1.642341061461398e-26
3716.2084717703183,1.673283071703769e-26
3717.063380645596,1.718116206326242e-26
3717.9205272515164,1.730911514550935e-26
3718.7758299829084,1.6135968859780218e-26
3719.631329475569,1.7262944561085506e-26
3720.4890682448176,1.7115262348075512e-26
3721.3449618656896,1.684300781759436e-26
3722.2030957947827,1.731488180224919e-26
3723.0593837254396,1.7912797002073736e-26
3723.917912996427,1.8393714830470372e-26
3724.774595418528,1.721062749726534e-26
3725.631474919294,1.6322808237562936e-26
3726.49059730883,1.6212652733674578e-26
3727.347871573576,1.6227567553295278e-26
3728.207389760389,1.6102571459127278e-26
3729.0650589709826,1.669464682744219e-26
3729.924973137417,1.7008013358316106e-26
3730.783037475809,1.687280539330302e-26
3731.641299210775,1.6574229251514882e-26
3732.5018074525187,1.645876103764218e-26
3733.3604645882588,1.6584748343540317e-26
3734.2213692657415,1.664543266736486e-26
3735.0804219844167,1.706544207251903e-26
3735.9417232802766,1.7355050198036983e-26
3736.801171764132,1.787535952584279e-26
3737.660817962982,1.8194064102873255e-26
3738.522714292455,1.7780442099883474e-26
3739.382756529901,1.7616686155550654e-26
3740.2450499346046,1.7264997928331805e-26
3741.105488393102,1.707368692465976e-26
3741.9681790559684,1.6706673965861458e-26
3742.8290139180554,1.6276119091696484e-26
3743.690046814071,1.6430189352271726e-26
3744.553333470401,1.7251512134965003e-26
3745.414763043864,1.7330699207886528e-26
3746.278447415947,1.7152969804849283e-26
3747.140273849606,1.6888005728749092e-26
3748.00435612067,1.6616526240241117e-26
3748.8665795973584,1.6637019454528427e-26
3749.7290014274245,1.71470808949447e-26
3750.59368065335,1.7137134919209382e-26
3751.4564998007445,1.785554401635241e-26
3752.3215773839797,1.8014067304695583e-26
3753.184794031746,1.7432110484760065e-26
3754.050270155814,1.715485731755597e-26
