wdid:2MASS J13410002+6026104,resolution:1800,source:SDSS,wavelength_min:3571.082965618436,wavelength_max:10344.272100698172
wavelength,flux
3571.082965618436,1.1843059327482308e-26
3571.906449463069,1.2906508741453747e-26
3572.7281618477496,1.2260700761583618e-26
3573.5520250709997,1.303356815750078e-26
3574.374116018186,1.3034074607037325e-26
3575.1963960863154,1.4613343258376966e-26
3576.020828478929,1.4099519479624338e-26
3576.8434873710958,1.4583835990722447e-26
3577.668299579322,1.5195127414219405e-26
3578.49133747005,1.4677429586767614e-26
3579.31652966887,1.4779108175037215e-26
3580.1399467327637,1.4638951506366265e-26
3580.9635532226716,1.5134565787181963e-26
3581.7893155089832,1.4955390039239587e-26
3582.6133014340103,1.4519352038759805e-26
3583.439444148616,1.4532030645535564e-26
3584.2638096835685,1.4320793149929089e-26
3585.0903330017313,1.3497928079683628e-26
3585.9150783214945,1.358694321391471e-26
3586.7400133728347,1.383758348791928e-26
3587.567107698099,1.4225714419123655e-26
3588.3924227966263,1.4193633067174635e-26
3589.2198981638544,1.3015766588902505e-26
3590.0455934846564,1.4194918012831723e-26
3590.8734500693936,1.359702107340101e-26
3591.6995257876383,1.4190726439586004e-26
3592.525791543517,1.481637249449747e-26
3593.3542200564484,1.4424117534113147e-26
3594.1808664725686,1.48567970955879e-26
3595.009676642124,1.2632601715993056e-26
3595.836703893856,1.3254371079888815e-26
3596.6658958958633,1.478764455072252e-26
3597.4933041586582,1.4893690172023743e-26
3598.3209027656367,1.410598064246762e-26
3599.150667618417,1.442101933097729e-26
3599.9786474996818,1.4124716999618974e-26
3600.8087946247365,1.443624482698085e-26
3601.6371559559398,1.3889175439579079e-26
3602.4676855293815,1.3955801966689796e-26
3603.2964284862574,1.517976498455732e-26
3604.125362094361,1.4954584982296592e-26
3604.9564654426426,1.4267506863440788e-26
3605.785780940067,1.4440840351402618e-26
3606.617267177267,1.4105726955630353e-26
3607.446964739948,1.3582775200181347e-26
3608.2788340424636,1.407857425099081e-26
3609.108913846418,1.5067787825223797e-26
3609.9391846091403,1.3472972972177054e-26
3610.7716286120535,1.4243960714330067e-26
3611.6022818801225,1.3906518084577546e-26
3612.435109389593,1.3345874974400915e-26
3613.2661453392293,1.3951066001368387e-26
3614.0993565319386,1.353409749062543e-26
3614.930775339443,1.335665529132952e-26
3615.762385413751,1.462968259966967e-26
3616.596172233908,1.47803111553422e-26
3617.4281654305832,1.3646198211596263e-26
3618.262336375933,1.332957352315942e-26
3619.0947128714797,1.4804537539555838e-26
3619.9292681189886,1.4218387079293382e-26
3620.762028089992,1.316796098131328e-26
3621.596967816708,1.3581325709360575e-26
3622.430111439835,1.405777166677188e-26
3623.263446726558,1.3156086374613529e-26
3624.0989632748865,1.2333098108440833e-26
3624.9326824787813,1.340546288660694e-26
3625.7685839491874,1.2936147676154398e-26
3626.602687247124,1.3096775301304895e-26
3627.4389738169416,1.3027630981124552e-26
3628.273461385872,1.2287041346270157e-26
3629.1081409275707,1.3090537207439586e-26
3629.9450052494735,1.2572228677725663e-26
3630.7800693276413,1.198972198857987e-26
3631.6173191925404,1.2494203066791863e-26
3632.4527679843336,1.2848345011155442e-26
3633.2904035698484,1.2504210139618698e-26
3634.126237252504,1.2831418665814396e-26
3634.9622632175992,1.2659138679660648e-26
3635.8004774871724,1.3778487993717354e-26
3636.6368886090336,1.2440119668413566e-26
3637.4754890435233,1.1704780449648795e-26
3638.3122854995922,1.3005538434353955e-26
3639.1512722769044,1.1785364079695507e-26
3639.988454244704,1.2895364754867527e-26
3640.8258288051147,1.2452826651885517e-26
3641.665395199962,1.2116559558827845e-26
3642.5031555384357,1.2278486730227151e-26
3643.343108721123,1.2159985594435862e-26
3644.1812550153873,1.1954494687738036e-26
3645.0215951641076,1.2478359922649192e-26
3645.8601275919727,1.294677346713331e-26
3646.6988529231207,1.2765447717140598e-26
3647.539773624358,1.2667682308301629e-26
3648.3788853558685,1.3150007665174583e-26
3649.220193468874,1.3198099195924517e-26
3650.0596917787616,1.1960651366969771e-26
3650.901387482016,1.3185379574719352e-26
3651.741272548377,1.2958212269888753e-26
3652.5813508291935,1.2751147446700135e-26
3653.423628021456,1.3445022611924485e-26
3654.264093325938,1.1667613592756749e-26
3655.1067585549035,1.2489298416783212e-26
3655.947611061353,1.2371126358119723e-26
3656.7906645057897,1.2255778901568039e-26
3657.6319043925905,1.2182702106356907e-26
3658.473337805522,1.224395834187951e-26
3659.3169736769673,1.3356804375242182e-26
3660.158794737873,1.3024105288898273e-26
3661.0028192719647,1.332572609976025e-26
3661.845028159434,1.332509850990902e-26
3662.6894415352285,1.3043994969310202e-26
3663.532038427933,1.315632672303496e-26
3664.3748291589454,1.3419125010089318e-26
3665.2198259012625,1.285755600850448e-26
3666.0630049055653,1.2357564595115998e-26
3666.9083909374813,1.2618000196554495e-26
3667.7519583939516,1.2641752314314433e-26
3668.5977338948114,1.2266211313020739e-26
3669.441689982409,1.3080470149138763e-26
3670.2858402209954,1.3719088183424385e-26
3671.1322000294085,1.1917760989270949e-26
3671.9767391676096,1.3023347605071635e-26
3672.823488893585,1.374237465247672e-26
3673.6684171105667,1.1924733596076083e-26
3674.5155569337394,1.2920230805786679e-26
3675.36087440875,1.1990946944809387e-26
3676.2063863479348,1.2518661953970445e-26
3677.0541114212083,1.2703255880069143e-26
3677.900012887343,1.2396164973343724e-26
3678.748128507156,1.2474509432881488e-26
3679.594419679695,1.2460001655218432e-26
3680.4429260259717,1.1944580968571051e-26
3681.2896070844527,1.3171020877648814e-26
3682.1364829207982,1.3007686353705266e-26
3682.985575461244,1.2681457089813904e-26
3683.832841452886,1.332541540993488e-26
3684.682325169863,1.253241134056672e-26
3685.5299814965456,1.289577302457179e-26
3686.3798565702677,1.2147225868477824e-26
3687.2279034118183,1.2963960917782737e-26
3688.0781700225843,1.3372941499867553e-26
3688.9266075589126,1.2380896456376196e-26
3689.775240277181,1.3229926319284597e-26
3690.626094298202,1.1690497827858606e-26
3691.475117981162,1.2428073255132927e-26
3692.326363990227,1.2707208076466214e-26
3693.175778817995,1.2337301320285641e-26
3694.027416995693,1.2698485709282797e-26
3694.877223148469,1.3252081265151362e-26
3695.727224798034,1.3214076806683963e-26
3696.57945133354,1.2686315722501687e-26
3697.429844578462,1.272911687874964e-26
3698.2824637343283,1.2938394660342358e-26
3699.1332487550153,1.2552174432422046e-26
3699.9862607121227,1.2089896597238452e-26
3700.837437689065,1.2704091171512045e-26
3701.688810478153,1.1982740383597461e-26
3702.5424117421494,1.2458650890222897e-26
3703.3941767582774,1.2826305289274024e-26
3704.2481712759713,1.2161996644197437e-26
3705.1003286998384,1.2874997278376825e-26
3705.9547166524017,1.1740499217456102e-26
3706.80726666479,1.19631416733398e-26
3707.660012805188,1.1709321527285115e-26
3708.514991015253,1.1746603335914888e-26
3709.368130015394,1.2517329906062754e-26
3710.2235021135148,1.1776266741417362e-26
3711.0770341543885,1.2025182840055216e-26
3711.9328003220294,1.2472191994014395e-26
3712.7867255847095,1.2152079688045023e-26
3713.640847291774,1.167511959050009e-26
3714.4972046690623,1.1530661605572633e-26
3715.3517198695927,1.1254303030494149e-26
3716.2084717703183,1.2023052758225581e-26
3717.063380645596,1.2151680479187303e-26
3717.9205272515164,1.1963560907878744e-26
3718.7758299829084,1.1958469717850599e-26
3719.631329475569,1.216059207871422e-26
3720.4890682448176,1.2243214698865101e-26
3721.3449618656896,1.1829357381624833e-26
3722.2030957947827,1.1081339652927341e-26
3723.0593837254396,1.1212792312346146e-26
3723.917912996427,1.1445301135462135e-26
3724.774595418528,1.1329272362567975e-26
3725.631474919294,1.1900627209418427e-26
3726.49059730883,1.1070771571789027e-26
3727.347871573576,1.1157873758680704e-26
3728.207389760389,1.1789391240703276e-26
3729.0650589709826,1.1945221831364146e-26
3729.924973137417,1.155946152071969e-26
3730.783037475809,1.1517532324408277e-26
3731.641299210775,1.1586326368510632e-26
3732.5018074525187,1.1627412063869797e-26
3733.3604645882588,1.1676473613477887e-26
3734.2213692657415,1.1433453129477872e-26
3735.0804219844167,1.0987942516185073e-26
3735.9417232802766,1.1130160842833904e-26
3736.801171764132,1.1629800087076663e-26
3737.660817962982,1.1122068358320865e-26
3738.522714292455,1.1056609957438961e-26
3739.382756529901,1.1306595571800805e-26
3740.2450499346046,1.1026431208453248e-26
3741.105488393102,1.0647730609684619e-26
3741.9681790559684,1.1110692895450651e-26
3742.8290139180554,1.1732715490473027e-26
3743.690046814071,1.1474304673571382e-26
3744.553333470401,1.1229526830667021e-26
3745.414763043864,1.1635347490513293e-26
3746.278447415947,1.1597796567636238e-26
3747.140273849606,1.1742266793674533e-26
3748.00435612067,1.2219106736320929e-26
3748.8665795973584,1.2034330255624417e-26
3749.7290014274245,1.1784081179426073e-26
3750.59368065335,1.1872333683200982e-26
3751.4564998007445,1.140222268153042e-26
3752.3215773839797,1.1769843858741633e-26
3753.184794031746,1.1578591390063991e-26
3754.050270155814,1.1717873728628364e-26
3754.913884487081,1.1659089690727837e-26
3755.779759335589,1.1259891888229143e-26
3756.6437715335687,1.1865302878604045e-26
3757.5079824964196,1.1357948484425522e-26
3758.3744555381986,1.1542144338128395e-26
3759.23906464263,1.2050135758945106e-26
3760.1059368681294,1.1684199734930623e-26
3760.9709442975654,1.1229231931994004e-26
3761.8382158906875,1.2483532302755194e-26
3762.703621828636,1.08345449449224e-26
3763.569226852084,1.2002841413619078e-26
3764.4370976034243,1.234576375638507e-26
3765.303101410696,1.1776496232573718e-26
3766.17137198968,1.1854741275745866e-26
3767.0377747644948,1.1379268057943664e-26
3767.9064453553233,1.1686889071965224e-26
3768.773247281486,1.1661731463865264e-26
3769.6402486142924,1.1998456235881842e-26
3770.509519329843,1.2038518596153355e-26
3771.3769200897523,1.1474009051520651e-26
3772.2465912779094,1.1551520385261928e-26
3773.1143916489377,1.0970249139867041e-26
3773.9844634941987,1.1753482017727622e-26
3774.8526636604465,1.1658147574046438e-26
3775.721063555002,1.1249736923875368e-26
