wdid:WD 1458+171,resolution:1800,source:SDSS,wavelength_min:3832.6565960457365,wavelength_max:9176.982217000424
wavelength,flux
3832.6565960457365,1.1177126769298574e-26
3833.5403981918244,1.1234343488962205e-26
3834.422299122584,1.1853913161566593e-26
3835.3065084359014,1.1288692196747666e-26
3836.1888156580017,1.1421737886089308e-26
3837.0734323261304,1.3012923141724695e-26
3837.9561460267496,1.2791960184416469e-26
3838.839062794496,1.3154870025395388e-26
3839.724290603761,1.1996152213496282e-26
3840.6076141308436,1.2103229349616365e-26
3841.4932497641403,1.2731050400212785e-26
3842.376980237953,1.2398007556360275e-26
3843.2630238831666,1.2021339802040985e-26
3844.1471614911898,1.1720649966421753e-26
3845.0315024939073,1.2231095320738085e-26
3845.9181582660904,1.2228143295045192e-26
3846.8029066842887,1.2365023111599459e-26
3847.6899709383656,1.2824921549407616e-26
3848.575126959741,1.2957107528957348e-26
3849.4625998838987,1.3289549210761523e-26
3850.3481636962338,1.2664266207555243e-26
3851.2339312313597,1.2545801902702251e-26
3852.1220172699104,1.34820275717424e-26
3853.0081928777204,1.2570605610023387e-26
3853.896688057088,1.2717110067847849e-26
3854.78327192558,1.2967443254130946e-26
3855.6721764342556,1.2504292857130912e-26
3856.5591687515152,1.3508491405502211e-26
3857.4463651201922,1.3350025192418738e-26
3858.3358837322767,1.3568520225714218e-26
3859.2234888319,1.414668997996961e-26
3860.1134172447873,1.3780013111805887e-26
3861.001431263659,1.281276578053226e-26
3861.8917696661447,1.305713049821637e-26
3862.780192792654,1.4285719889284053e-26
3863.668820299736,1.3461527005188746e-26
3864.5597737962416,1.3065356737437033e-26
3865.448810693595,1.2137021636334394e-26
3866.3401746519544,1.2344070255580802e-26
3867.229621128185,1.2971158162434216e-26
3868.121395737497,1.3248903928714173e-26
3869.0112519812974,1.3087157907963837e-26
3869.9013129353575,1.2629762980601751e-26
3870.7937036309,1.2300288026494838e-26
3871.6841746356195,1.2567754627887239e-26
3872.576976455132,1.296624180660426e-26
