# get-gator-lightcurve.py output file
# RA: 183.933748
# Dec: 52.517014
# Reference HJD(UTC?): 2455976.0194172
# Excluded (bad mag / FWHM / correction): 14
# Median absolute correction (mag): 0.0090
# HJD(UTC?) Mag  Error
0.00000 12.98700 0.02200
2.99592 12.92700 0.02300
3.00007 12.91600 0.02300
3.04544 12.90600 0.02300
4.70877 12.97800 0.02900
5.85580 12.96500 0.03300
5.90520 12.88100 0.03300
5.97664 12.89600 0.03300
6.03178 12.85300 0.03300
6.63692 12.86500 0.02200
6.84069 12.94700 0.02200
6.91148 12.96700 0.02200
7.00332 13.00500 0.02200
14.81114 12.89900 0.02200
14.85770 12.81400 0.02200
14.90887 12.84800 0.02200
14.95594 12.85700 0.02200
15.01823 12.84800 0.02200
15.76962 12.94600 0.10700
15.81268 12.90800 0.10700
15.90054 12.93500 0.10700
15.95040 12.96400 0.10700
26.78706 12.95300 0.05500
26.78821 12.98000 0.05500
41.90329 13.03900 0.05600
41.93415 12.99700 0.05600
41.96839 12.96000 0.05600
45.74166 13.07500 0.17100
50.94786 12.98800 0.02600
50.97814 12.96300 0.02600
51.72655 13.01600 0.03000
51.76164 13.01000 0.03000
58.90105 13.03400 0.02300
58.93182 13.02600 0.02300
58.96246 12.97300 0.02300
62.69051 13.03900 0.02400
62.72199 13.06500 0.02400
64.70255 13.07000 0.02200
64.73999 13.09100 0.02200
71.68629 12.94800 0.02400
71.72905 12.98100 0.02400
88.81377 13.01100 0.02000
92.79419 13.01800 0.02200
