# get-gator-lightcurve.py output file
# RA: 186.628697
# Dec: 30.64797
# Reference HJD(UTC?): 2454904.8953272
# Excluded (bad mag / FWHM / correction): 10
# Median absolute correction (mag): 0.0090
# HJD(UTC?) Mag  Error
0.00000 16.31800 0.02500
4.15563 16.23100 0.02700
59.76777 16.27000 0.02700
59.83860 16.24000 0.02700
59.93455 16.43800 0.02800
59.99907 16.35200 0.02800
60.76871 16.37100 0.02700
65.97281 16.36300 0.10800
102.89508 16.43900 0.03600
127.78918 16.30500 0.04600
128.77857 16.43400 0.03300
1477.77486 16.42000 0.02600
1477.80404 16.43800 0.02600
1477.83340 16.43800 0.02600
1480.80910 16.22600 0.07800
1480.83893 16.29900 0.07800
1480.86900 16.40700 0.07800
1482.80355 16.31100 0.02600
1482.83304 16.23500 0.02500
1484.95243 16.24500 0.04000
1484.98207 16.31900 0.04000
1485.01186 16.40200 0.04000
1485.91365 16.29900 0.03100
1485.95296 16.21600 0.03100
1485.98268 16.22400 0.03100
1487.75987 16.20400 0.02700
1487.78946 16.21700 0.02700
1487.81951 16.28500 0.02700
1488.80145 16.21500 0.02400
1488.83152 16.23000 0.02400
1488.86110 16.30400 0.02400
1489.79141 16.30400 0.21300
1490.75405 16.43400 0.02500
1490.78391 16.41900 0.02500
1490.81352 16.34300 0.02500
1491.75407 16.42700 0.02800
1491.78391 16.45500 0.02800
1491.81480 16.42900 0.02800
1494.96695 16.28900 0.03400
1495.01122 16.21200 0.03400
1495.04124 16.22300 0.03400
1495.94310 16.43200 0.02700
1495.97335 16.37700 0.02600
1496.00369 16.29700 0.02600
1496.90506 16.38200 0.02600
1496.93505 16.44500 0.02600
1496.96479 16.47000 0.02600
1497.86761 16.21900 0.04600
1497.89736 16.25500 0.04600
1497.92701 16.34200 0.04600
1498.82820 16.36200 0.02400
1498.85812 16.24600 0.02400
1498.88885 16.23100 0.02400
1499.79114 16.44800 0.02500
1499.82170 16.45000 0.02500
1499.85099 16.39900 0.02400
1500.79880 16.42900 0.10400
1500.82951 16.46600 0.10400
1500.85888 16.46900 0.10400
1834.04274 16.46000 0.03400
1834.11406 16.28700 0.03400
1847.98185 16.43900 0.03200
1848.01452 16.43100 0.03200
1873.89843 16.43000 0.03300
1873.93853 16.32000 0.03300
1875.84351 16.27300 0.02700
1875.87297 16.35400 0.02700
1876.84286 16.19500 0.04800
1876.87209 16.23200 0.04800
1877.87611 16.20200 0.07300
1881.90554 16.43700 0.03300
1881.93913 16.38900 0.03300
1882.89526 16.45200 0.02700
1882.92881 16.45000 0.02700
1883.80968 16.22400 0.05400
1883.84411 16.24400 0.05300
1884.85812 16.22200 0.02800
1884.89157 16.22500 0.02800
1885.82874 16.38700 0.02900
1885.85532 16.27600 0.02800
1886.83131 16.42600 0.03200
1886.86006 16.38900 0.03200
1887.78022 16.38800 0.02800
1889.82620 16.27200 0.17500
1889.85781 16.41000 0.17500
1890.81573 16.19900 0.36500
1890.85097 16.26000 0.36500
1892.78324 16.41700 0.03300
1892.81683 16.33100 0.03300
1897.78925 16.22400 0.02500
1897.82089 16.22100 0.02500
1898.78611 16.28000 0.02700
1898.81767 16.22000 0.02600
1899.78692 16.39400 0.02400
1899.81820 16.26500 0.02400
1900.78638 16.44400 0.14800
