# get-gator-lightcurve.py output file
# RA: 157.14534
# Dec: -0.0082
# Reference HJD(UTC?): 2454904.6748572
# Excluded (bad mag / FWHM / correction): 4
# Median absolute correction (mag): 0.0260
# HJD(UTC?) Mag  Error
0.00000 14.06600 0.02100
0.10934 14.10300 0.02100
658.15041 13.95000 0.18800
658.15360 13.97700 0.17400
665.34505 13.97500 0.02200
665.34934 13.99800 0.02200
667.37436 13.95700 0.09200
1027.12802 13.97300 0.15500
1047.27571 13.96600 0.23400
1048.29218 13.97800 0.02400
1050.26510 13.96300 0.04000
1055.21440 13.95500 0.04200
1055.28646 13.95000 0.04200
1058.21936 13.97500 0.03200
1058.26222 13.96800 0.03200
1059.18038 13.97900 0.13800
1059.21942 13.96800 0.13800
1461.09924 13.98100 0.02200
1461.11011 13.97500 0.02200
1461.12099 13.97600 0.02200
1461.13194 13.97200 0.02200
