# get-gator-lightcurve.py output file
# RA: 205.250102
# Dec: 60.436246
# Reference HJD(UTC?): 2454961.7470072
# Excluded (bad mag / FWHM / correction): 0
# Median absolute correction (mag): 0.0200
# HJD(UTC?) Mag  Error
0.00000 17.12900 0.02400
0.05021 17.12500 0.02400
0.10143 17.17400 0.02500
0.16440 17.15700 0.02500
0.21378 17.12000 0.02600
6.12489 17.15100 0.02300
9.91798 17.15000 0.15000
10.22744 17.13400 0.15100
10.23192 17.12100 0.15100
51.00433 17.13400 0.03200
51.10674 17.15700 0.03200
62.98241 17.13900 0.05600
63.07429 17.17000 0.05700
78.92396 17.15700 0.02700
352.11865 17.14900 0.04300
352.16183 17.17300 0.04300
357.19340 17.14300 0.06300
357.23718 17.14900 0.06400
362.20157 17.16100 0.04200
362.24549 17.18400 0.04300
370.08740 17.14300 0.08000
370.13074 17.14900 0.08000
377.10396 17.17800 0.03300
377.14605 17.20900 0.03300
391.02732 17.14700 0.15700
391.07383 17.14900 0.15700
396.06665 17.15700 0.04800
396.11269 17.15500 0.04800
401.98861 17.13800 0.04400
402.04652 17.15100 0.04400
407.06088 17.15200 0.02800
407.10571 17.14700 0.02800
413.05001 17.15500 0.03400
413.09396 17.16000 0.03500
418.95798 17.14000 0.02600
419.00299 17.14100 0.02600
423.96406 17.14400 0.03000
424.00736 17.14200 0.03000
1060.24956 17.14000 0.19200
1060.28007 17.20100 0.19200
1063.92341 17.11300 0.03200
1063.95294 17.16500 0.03300
1064.00848 17.16100 0.03300
1066.17723 17.15700 0.03200
1066.20845 17.16800 0.03500
1066.24572 17.14100 0.03200
1077.15263 17.13500 0.02300
1077.18797 17.14000 0.02300
1077.22040 17.11800 0.02300
