#      __l          _f
#
3830.000000 2510.240000
3830.880000 935.217000
3831.760000 1845.380000
3832.640000 1969.290000
3833.520000 483.655000
3834.400000 3314.900000
3835.280000 5095.780000
3836.160000 3926.760000
3837.040000 837.911000
3837.920000 3217.360000
3838.800000 2772.800000
3839.680000 4979.930000
3840.560000 2617.980000
3841.440000 54.005800
3842.320000 -22.234500
3843.200000 1078.630000
3844.080000 611.594000
3844.960000 871.459000
3845.840000 564.993000
3846.720000 1728.650000
3847.600000 4069.150000
3848.480000 2215.450000
3849.360000 1765.510000
3850.240000 2044.770000
3851.120000 647.029000
3852.000000 1306.650000
3852.880000 2044.460000
3853.760000 1071.210000
3854.640000 2910.910000
3855.520000 5097.120000
3856.400000 2323.300000
3857.280000 -1078.430000
3858.160000 -2244.310000
3859.040000 -1008.510000
3859.920000 -775.539000
3860.800000 533.888000
3861.680000 -832.072000
3862.560000 -1310.190000
3863.440000 1631.190000
3864.320000 1332.030000
3865.200000 1367.860000
3866.080000 1417.980000
3866.960000 1589.870000
3867.840000 2899.660000
3868.720000 3244.720000
3869.600000 1420.530000
3870.480000 671.162000
3871.360000 -387.812000
3872.240000 -1894.990000
3873.120000 -1209.770000
3874.000000 107.100000
3874.880000 2692.870000
3875.760000 2358.920000
3876.640000 692.924000
3877.520000 -112.950000
3878.400000 -390.101000
3879.280000 1081.480000
3880.160000 1833.140000
3881.040000 1942.500000
3881.920000 1695.070000
3882.800000 954.314000
3883.680000 716.218000
3884.560000 1292.920000
3885.440000 2217.550000
3886.320000 -35.550200
3887.200000 -178.221000
3888.080000 2450.600000
3888.960000 2787.890000
3889.840000 2123.170000
3890.720000 831.966000
3891.600000 1605.190000
3892.480000 1486.660000
3893.360000 2050.960000
3894.240000 2397.970000
3895.120000 1264.320000
3896.000000 1112.280000
3896.880000 605.597000
3897.760000 -1065.130000
3898.640000 825.269000
3899.520000 2189.540000
3900.400000 -2370.440000
3901.280000 -1519.830000
3902.160000 2680.170000
3903.040000 1920.370000
3903.920000 2154.130000
3904.800000 1510.420000
3905.680000 928.310000
3906.560000 848.806000
3907.440000 -278.507000
3908.320000 536.022000
3909.200000 -1406.280000
3910.080000 -2047.440000
3910.960000 -487.871000
3911.840000 1574.330000
3912.720000 1471.480000
3913.600000 2076.310000
3914.480000 1174.230000
3915.360000 192.126000
3916.240000 1488.520000
3917.120000 771.539000
3918.000000 1077.990000
3918.880000 3051.320000
3919.760000 1450.390000
3920.640000 -307.558000
3921.520000 759.326000
3922.400000 909.618000
3923.280000 620.528000
3924.160000 345.998000
3925.040000 -660.159000
3925.920000 195.280000
3926.800000 1886.770000
3927.680000 1983.530000
3928.560000 1066.270000
3929.440000 3.951420
3930.320000 995.244000
3931.200000 779.402000
3932.080000 1223.070000
3932.960000 6725.120000
3933.840000 10050.800000
3934.720000 8898.900000
3935.600000 6165.690000
3936.480000 3269.240000
3937.360000 3751.950000
3938.240000 1221.640000
3939.120000 1884.730000
3940.000000 1961.530000
3940.880000 2640.350000
3941.760000 -13.077600
3942.640000 -3065.480000
3943.520000 1581.630000
3944.400000 2666.080000
3945.280000 374.127000
3946.160000 -689.461000
3947.040000 33.544700
3947.920000 260.723000
3948.800000 -8.050790
3949.680000 722.558000
3950.560000 1877.310000
3951.440000 2069.240000
3952.320000 1429.890000
3953.200000 -186.617000
3954.080000 -448.591000
3954.960000 2224.780000
3955.840000 3186.640000
3956.720000 1494.680000
3957.600000 1079.770000
3958.480000 852.935000
3959.360000 1789.020000
3960.240000 1838.970000
3961.120000 1008.530000
3962.000000 1794.380000
3962.880000 1059.560000
3963.760000 521.517000
3964.640000 -42.258400
3965.520000 1558.580000
3966.400000 1786.360000
3967.280000 3209.340000
3968.160000 5110.410000
3969.040000 7892.280000
3969.920000 6268.920000
3970.800000 5325.130000
3971.680000 4224.520000
3972.560000 1774.010000
3973.440000 1524.110000
3974.320000 1077.480000
3975.200000 -555.394000
3976.080000 519.436000
3976.960000 2057.960000
