Target,Teff,e_Teff,logg,e_logg,si,si_e,c,c_e,o,o_e,s,s_e,mass,q,tdiff_si,tdiff_c,tdiff_o,tdiff_s,Fsi,Fsi_e,Fc,Fc_e,Fo,Fo_e,Fs,Fs_e,porb_min,spt,mass_est,rad_est,lum_est,lx,lxel,lexeu
V-UZ-SEX,17146,15,7.801,0.007,-7.08,0.03,-6.21,0.05,-6.44,0.07,-7.36,0.30,0.511,-16.343,-1.997,-2.272,-2.135,-2.272,336385.0913,15320.37649,2008822.103,152446.5769,1149357.541,122104.1368,379599.6727,172820.6755,8.60E+02,M4,0.22,0.258,-2.51,5.56E+27,1.31E+27,4.21E+26
V-LM-COM,28878,1122,7.358,0.1,-6.96,0.04,-5.90,0.04,-5.63,0.00,-6.96,0.00,0.424,-15.4,-0.913,-1.069,-1.024,-1.069,265938.7946,19504.52052,1870193.033,137163.9607,4182154.821,0,434781.2289,0,3.73E+02,M3,0.36,0.369,-1.79,-5.60E+28,0,0
WD-1339+606,37074,76,7.449,0.005,-7.88,0.40,-8.32,0.10,-8.05,0.40,-7.34,0.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56E+02,M3,0.36,0.369,-1.79,-9.00E+28,0,0
WD-1504+546,21730,53,7.67,0.01,-7.13,0.20,-8.25,0.09,-8.15,0.30,-7.43,0.60,0.464,-15.894,-1.515,-1.609,-1.758,-1.609,252309.6261,76582.37196,10163.38924,1388.40783,24018.85112,10935.24372,179235.037,163201.1191,1.34E+03,M3,0.36,0.369,-1.79,9.26E+28,3.62E+28,3.74E+28
WD-2317+268,28403,19,7.585,0.005,-6.78,0.03,-5.82,0.03,-4.66,0.10,-6.65,0.20,0.452,-15.541,-1.068,-1.232,-1.195,-1.232,443153.5923,20179.70829,2521500.235,114820.5499,44583348.57,6765937.313,995504.8128,302149.8672,1.14E+03,M3,0.36,0.369,-1.79,-2.40E+28,0,0
WD-1436-216	,22814,38,7.658,0.01,-7.19,0.05,-6.27,0.10,-5.92,0.40,-8.18,0.10,0.463,-15.83,-1.453,-1.548,-1.699,-1.548,220291.0386,16721.78698,975217.6868,148009.902,4117325.866,2499337.128,32024.76269,4860.434806,2.91E+03,M2,0.44,0.434,-1.54,5.07E+28,9.84E+26,7.80E+26
WD-1458+171	,21406,4,7.445,0.0003,-6.19,0.30,-5.09,0.04,-5.96,0.00,-6.51,0.00,0.399,-15.65,-1.25,-1.344,-1.496,-1.344,1800481.797,819703.8918,12036313.03,730638.5581,3069072.482,0,1221455.993,0,2.37E+02,M4,0.22,0.258,-2.51,3.70E+28,1.18E+28,8.42E+27
WD2257+162,22886,33,7.24,0.008,-7.38,0.05,-6.27,0.05,-8.03,0.50,-7.34,0.10,0.404,-15.587,-1.19,-1.288,-1.439,-1.288,118521.5178,8995.775491,818280.0127,62107.39973,26817.33484,20348.5671,185902.9555,28213.98152,4.64E+02,M4.5,0.18,0.243,-2.84,0,0,0
WD2256+249,21488,17,7.73,0.006,-6.88,0.02,-5.76,0.02,-5.72,0.05,-7.39,0.20,0.49,-15.996,-1.622,-1.719,-1.862,-1.719,479304.9558,14557.21339,3378443.483,102608.4168,6858518.74,520467.5137,211398.0657,64162.43974,2.50E+02,M4,0.22,0.258,-2.51,0,0,0
WD0710+741,18732,30,7.35,0.01,-6.96,0.04,-5.73,0.05,-5.84,1.00,-6.92,0.30,0.389,-15.788,-1.366,-1.544,-1.581,-1.544,283377.5497,17212.04539,3100774.469,235371.3731,3491273.33,5298235.232,534385.3339,243291.7491,1.48E+02,M6,0.1,0.127,-2.98,0,0,0
