Binary,Teff (K),logg,M2 (MJup),Spt,Period (h),[Ca/H],Cauplim,[Na/H],Nauplim,Accretion,BH capture,Edd capture
Case 1,15500,8.07,380,M3,16,−8.1,,,,2.60E-17,1.90E-15,1.00E-13
PG 1026+002,17200,7.96,380,M5,14.3,−8.6,,,,6.00E-18,4.40E-16,2.00E-14
LHS 1660,7500,7.7,190,M5,7.3,−9.3,,,,3.10E-16,9.90E-15,3.00E-13
PG 2257+162,24300,7.51,190,M5,7.7,,,,,3.10E-17,1.30E-16,3.20E-15
BPM 6502,22600,7.84,150,M5,8.1,,,,,1.40E-17,2.60E-16,1.30E-14
LTT 560,7500,7.75,150,M6,3.5,−7.5,,,,8.50E-15,9.40E-14,3.10E-12
Rubin 80,8200,7.75,100,M7,4,−8.3,,,,8.70E-16,1.00E-14,3.70E-13
GD 448,19700,7.49,100,M7,2.5,,,,,1.20E-17,7.00E-17,1.90E-15
NLTT 5306,7700,7.49,60,L5,1.7,−11.0,y,−7.7,,3.30E-15,5.60E-15,2.10E-13
GD 1400,11400,8.17,70,L6,10,−9.8,y,−7.3,y,-2.40E-18,-5.50E-17,-4.30E-15
WD 0137–349,17600,7.58,60,L7,1.9,−7.9,y,−5.7,y,-2.20E-17,-5.10E-17,-2.00E-15
SDSS J1411,11800,8.01,50,L8,2,−8.2,y,−6.2,y,-3.90E-17,-4.60E-17,-4.10E-15
