ID,Star,Spectral Type,sp_num,d (pc),VISM (km s−1 ),θ_deg,Ṁdot (Ṁdotsun ),log Lx,Radius (Rsun ),Mass est
1,Prox Cen,M5.5 V,5.5,1.3,25,79,-0.2,27.22,0.14,0.123
2,GJ 699a,M4 V,4,1.83,121,43,-0.2,25.85,0.19,0.23
3,GJ 411a,M2 V,3,2.55,110,36,-0.1,26.89,0.36,0.44
4,GJ 729,M3.5 V,3.5,2.98,11,178,0,27.06,0.2,0.27
5,GJ 887a,M2 V,2,3.29,85,99,0.5,27.03,0.47,0.44
6,GJ 15ABa,M2 V+M3.5 V,2,3.56,28,95,10,27.37,0.37,0.27
7,GJ 273a,M3.5 V,3.5,3.8,75,89,-0.2,26.54,0.31,0.27
8,GJ 860ABa,M3 V+M4 V,3,4.01,47,55,0.15,27.72,0.29,0.33
9,AD Leo,M4 V,4,4.97,13,114,0,28.8,0.39,0.23
10,EV Lac,M3.5 V,3.5,5.05,45,84,1,28.99,0.32,0.27
11,GJ 205a,M1.5 V,1.5,5.7,70,79,0.3,27.66,0.59,0.47
12,GJ 588a,M2.5 V,2.5,5.92,47,139,-5,27,0.43,0.4
13,YZ CMia,M4 V,4,5.99,20,114,30,28.57,0.33,0.23
14,GJ 644ABa,M3+M4+M4 V,3,6.2,53,136,-5,29.04,0.3,0.37
15,GJ 338ABa,M0 V+M0 V,0,6.33,29,88,0.5,27.92,0.6,0.57
16,GJ 436b,M3 V,3,9.75,79,97,0.059,26.76,0.4,0.37
17,GJ 173,M1 V,1,11.2,38,43,0.75,26.84,0.42,0.5
18,alpha Cen A,G2 V,,1.35,25,79,0.46,26.99,1.22,1
,alpha Cen B,K0 V,,1.35,25,79,1.54,27.32,0.86,0.88
19,epsilon Eri,K2 V,,3.22,27,76,30,28.31,0.74,0.82
20,61 Cyg A,K5 V,,3.48,86,46,0.5,27.03,0.67,0.7
21,epsilon Ind,K5 V,,3.63,68,64,0.5,27.39,0.73,0.7
22,tau Cet,G8 V,,3.65,56,59,-0.1,26.69,0.77,0.94
23,70 Oph AB,K0 ,,5.09,37,120,55.7,28.09,0.83,0.88
,70 Oph B,K5 V,,5.09,37,120,44.3,27.97,0.67,0.7
24,36 Oph A,K1 V,,5.99,40,134,8.5,28.02,0.69,0.86
,36 Oph B,K1 V,,5.99,40,134,6.5,27.89,0.59,0.86
25,delta Pav,G8 IV,,6.11,29,72,10,27.29,1.22,1.05
26,GJ 892,K3 V,,6.55,49,60,0.5,26.85,0.78,0.78
27,xi Boo A,G8 V,,6.7,32,131,0.5,28.91,0.86,0.94
27,xi Boo B,K4 V,,6.7,32,131,4.5,28.08,0.61,0.73
28,61 Vir,G5 V,,8.53,51,98,0.3,26.87,0.99,0.98
29,delta Eri,K0 IV,,9.04,37,41,4,27.05,2.58,0.88
30,pi ^1 UMa,G1.5 V,,14.4,43,34,0.5,28.99,0.97,1.01
31,lambda And,G8 IV-III,,25.8,53,89,5,30.82,7.4,1.24
32,DK UMa,G4 III - IV,,32.4,43,32,0.15,30.36,4.4,1.9
33,V374 Peg,M3.5 V,,9.1,9,85,200,28.45,0.34,0.27
34,AB Dor,K0 V,,15.3,31,157,350,29.87,0.93,0.88
35,HK Aqr,M0 V,,24.9,14,110,50,29.01,0.59,0.57
36,Speedy Mic,K3 V,,66.7,25,109,130,31.06,1.06,0.78
37,LQ Lup,G8 IV,,146.7,24,165,4500,30.9,1.3,0.94
